WS2::Expletivum	WS2::Tempus	WS2::Infinitiv	WS3::Infinitiv	WS3::Richtungspartikel	WS3::Artikel Milch	WS3::Blankoannotation	WS12::Realisierung des Subjektpronomens	WS12::Wohin?	WS13::Annotation	WS16::Infinitivanschluss	WS16::indefiniter Artikel	WS39::Annotation	WS40::Serialisierung	WS40::Realisierung des Subjektpronomens	WS40::Auxiliar	WS40::Artikel: Präposition mit	WS40::Artikel: Präposition ins Korn
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	10	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	2	1	88	1	1	1	4	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	88	1	1	1	2	1	1	1	1	1	1	1	1	2	1
1	2	1	2	1	1	1	4	1	1	3	1	1	1	1	1	1	1
1	1	1	2	1	1	1	2	1	1	3	1	1	1	1	1	1	1
1	1	1	3	1	1	1	1	1	99	2	1	1	1	1	1	1	1
1	1	1	2	1	1	1	4	1	1	1	1	1	1	1	1	1	1
1	2	1	3	1	1	1	4	1	1	1	1	1	1	1	1	1	1
1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	2	1	1	1	1	1	1	3	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
1	1	1	88	1	1	1	4	1	1	1	1	1	1	1	1	2	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	2	1	1	1	4	1	4	88	1	1	1	1	1	1	1
1	1	1	3	1	1	1	2	1	1	2	1	1	1	1	1	1	1
1	1	1	88	1	1	1	2	1	4	1	1	1	1	1	1	1	1
1	1	1	3	1	1	1	2	1	1	1	1	1	1	1	1	1	1
1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	2	88	1	1	2	2	1	3	1	1	1	1	1	1	1
1	1	1	2	1	1	1	4	1	2	3	1	1	1	1	1	1	1
1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
1	1	1	3	1	1	1	4	1	1	1	1	1	1	1	1	1	1
1	1	1	3	1	1	1	4	1	1	3	1	1	1	1	1	1	1
1	1	1	2	1	1	1	4	1	1	88	88	1	1	1	1	1	1
1	1	1	2	1	1	1	2	1	1	3	1	1	1	1	1	1	1
1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1
1	1	1	2	1	1	1	4	1	4	2	1	1	1	1	1	2	1
1	1	1	2	1	1	1	4	1	1	1	1	1	1	1	1	1	1
1	1	1	3	1	1	1	4	1	1	1	1	1	1	1	1	1	1
1	1	1	3	2	1	1	4	1	1	1	1	1	1	1	1	1	2
1	1	1	1	11	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	6	1	1	1	4	1	2	1	1	1	1	1	1	1	1
1	1	1	3	11	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	2	6	1	2	3	4	1	1	3	1	1	1	2	1	2	1
11	1	41	88	1	1	1	4	1	1	3	1	1	1	1	1	2	1
1	1	2	2	1	1	1	4	1	1	2	1	1	1	1	1	1	1
1	1	3	88	4	1	1	4	2	1	3	1	1	1	2	1	1	1
1	1	1	3	1	2	3	4	1	1	1	1	1	1	1	1	1	88
1	1	2	3	1	1	1	4	1	1	1	1	1	1	2	1	1	1
1	1	1	3	1	1	1	2	1	4	88	88	1	1	1	1	2	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	88	1	1	1	2	1	1	1	1	1	1	1	1	1	1
1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
1	1	1	3	1	1	1	4	1	1	1	1	1	1	1	1	2	1
1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	2	1	1	1	2	1	1	3	1	1	1	1	1	2	1
1	1	1	3	1	1	1	4	1	1	3	1	1	1	1	1	2	1
1	1	1	2	1	1	1	4	1	1	3	1	1	1	1	1	2	1
1	1	1	2	1	1	1	4	1	3	1	1	1	1	1	1	2	1
1	1	1	2	1	1	1	4	1	1	3	1	1	1	1	1	2	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	3	1	1	1	4	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	4	1	4	1	1	1	1	1	1	2	1
1	1	1	2	1	1	1	4	1	2	3	1	1	1	2	1	2	1
1	1	1	3	1	1	1	2	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1
1	1	1	2	1	1	1	4	1	1	1	1	1	1	1	1	2	1
1	2	1	2	1	1	1	4	1	4	2	1	1	1	1	1	1	1
1	1	2	6	1	1	1	4	1	1	3	1	1	1	1	1	1	1
1	2	2	88	3	1	1	4	1	2	2	88	1	1	2	1	1	1
1	1	2	5	1	1	1	4	1	2	1	1	1	1	2	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
1	1	2	6	1	1	1	1	1	4	1	1	1	1	1	1	1	1
1	1	2	5	1	1	1	4	1	1	1	1	1	1	2	1	2	1
1	1	2	5	1	1	1	4	1	2	3	1	1	1	2	1	1	1
2	1	2	3	1	1	1	4	1	2	1	1	1	1	1	1	2	1
1	1	2	6	1	1	1	4	1	88	3	88	1	1	1	1	1	1
1	1	2	6	1	1	1	1	1	2	5	1	1	1	2	1	2	1
1	1	2	3	1	1	1	4	1	4	1	1	1	1	1	1	1	1
1	1	2	3	1	1	1	4	1	2	1	1	1	1	2	1	2	1
1	1	2	88	1	1	1	4	1	1	3	1	1	1	1	1	1	1
1	1	1	88	88	1	1	2	2	1	3	1	1	1	1	1	1	1
1	1	1	3	1	1	1	4	1	1	1	1	1	1	1	1	2	1
1	1	1	22	1	1	2	1	1	1	2	88	1	1	1	1	2	1
1	1	1	3	1	1	1	4	1	4	1	1	1	1	1	1	2	1
1	1	1	88	88	1	1	4	1	88	88	88	88	1	1	1	2	1
1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
1	1	1	2	1	1	1	4	1	1	1	1	1	1	1	1	2	3
1	2	1	2	1	1	1	4	1	1	3	1	1	1	2	1	1	1
1	1	1	1	1	1	1	4	1	4	1	1	1	1	1	1	1	1
1	1	1	2	1	1	1	4	1	1	3	1	1	1	1	1	1	2
1	1	1	2	1	1	1	4	1	1	2	1	1	1	1	1	1	2
1	1	1	2	1	1	1	3	1	1	3	1	1	1	1	1	3	2
1	1	1	88	1	1	1	4	1	1	1	1	1	1	1	1	3	2
1	1	1	3	1	1	1	4	1	1	1	88	1	1	1	1	1	1
1	1	1	2	88	1	1	4	1	1	3	1	1	1	1	1	2	1
1	1	1	3	1	1	1	4	1	4	1	88	1	1	1	1	1	1
1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1
1	1	1	3	1	1	1	2	1	1	88	88	1	1	1	1	1	1
1	1	1	3	1	1	77	4	1	1	1	1	1	1	1	1	2	1
1	2	1	3	1	1	1	4	1	1	2	88	1	1	1	1	1	1
1	1	1	3	1	1	1	4	1	1	3	1	1	1	1	1	2	1
1	1	1	2	88	1	1	4	1	1	3	1	1	1	1	1	1	1
1	1	41	88	88	1	1	4	1	4	2	1	1	1	11	1	2	1
1	1	1	2	1	1	1	2	1	1	4	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	2	1	1	1	4	1	1	1	1	1	1	1	1	1	1
1	1	1	3	77	1	1	4	1	2	3	1	1	1	1	1	1	1
1	1	1	2	1	1	1	4	1	1	1	1	1	1	1	1	1	1
1	1	1	88	11	1	1	4	2	1	1	1	1	1	1	1	1	77
1	1	2	88	3	1	1	4	1	1	3	1	1	1	1	1	1	1
1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	2	6	1	1	1	4	1	4	1	1	1	1	1	1	2	1
1	1	1	3	1	1	1	4	1	1	1	1	1	1	2	1	2	1
11	1	2	88	1	1	1	4	1	4	3	1	1	1	2	1	2	1
11	1	6	3	1	1	1	4	1	88	2	88	1	1	2	1	1	1
11	1	2	6	1	1	1	4	1	88	3	1	1	1	2	1	1	1
1	1	2	3	1	1	1	4	1	4	1	1	1	1	2	1	1	1
11	1	77	88	88	1	1	4	2	1	10	1	1	1	1	1	1	1
1	1	2	6	1	1	1	4	1	1	1	1	1	1	2	1	1	1
1	1	2	3	1	1	1	4	1	4	3	1	1	1	2	1	2	1
1	1	2	3	1	1	1	4	1	1	3	1	1	1	2	1	2	1
1	1	1	3	1	1	1	1	1	2	3	1	1	1	2	1	1	1
1	1	2	88	1	2	3	4	1	11	3	1	1	1	2	1	1	1
1	1	2	6	1	1	1	4	1	1	21	1	1	1	2	1	1	1
1	1	2	88	1	1	1	4	1	1	3	1	1	1	2	1	1	1
1	1	2	6	1	1	1	4	1	1	3	1	1	1	2	1	2	1
1	2	2	88	1	1	1	4	1	1	21	1	1	1	2	1	1	1
1	1	1	2	1	1	1	4	1	1	1	1	1	1	1	1	1	1
1	1	1	3	1	1	1	4	1	4	1	1	1	1	1	1	10	99
1	1	1	88	4	1	1	4	1	1	1	1	1	1	2	1	1	1
1	1	1	88	33	1	1	4	1	1	3	1	1	1	2	1	1	1
1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1
1	2	1	2	1	1	1	4	1	1	1	1	1	1	1	88	2	1
1	1	1	88	1	1	1	1	1	1	2	1	1	1	1	1	2	1
1	1	4	88	1	1	1	2	1	1	1	1	1	1	1	1	2	1
1	1	4	2	88	1	1	4	1	1	3	1	1	1	1	1	2	1
1	1	5	3	1	1	1	4	1	1	1	1	1	1	1	1	2	1
12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	1
1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	88	1	1	1	4	3	1	1	1	1	1	1	1	2	1
1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1
1	1	1	3	1	1	1	4	3	1	2	1	1	1	1	1	2	1
1	1	1	3	1	1	1	4	3	1	2	1	1	1	1	1	2	1
11	1	3	88	1	1	1	4	2	1	3	1	1	1	1	1	1	77
1	1	2	6	1	1	1	4	1	1	3	1	1	1	2	1	1	1
1	1	2	6	1	1	1	4	1	1	3	1	1	1	1	1	1	1
11	2	2	6	1	1	1	4	1	11	3	1	1	1	2	1	2	1
11	2	6	6	1	2	3	4	1	88	3	1	1	1	2	1	1	1
77	2	1	88	1	2	3	4	1	1	3	1	1	1	2	1	2	1
1	1	2	6	1	1	1	4	1	1	1	1	1	1	2	1	1	1
1	1	2	12	1	1	1	4	1	1	2	1	1	1	2	1	2	1
1	1	2	6	1	1	1	4	1	1	11	1	1	1	2	1	2	1
1	1	2	6	1	1	1	4	1	4	3	1	1	1	2	1	2	1
1	1	2	12	1	1	1	4	1	4	1	1	1	1	2	1	1	1
1	1	2	88	1	1	1	3	1	1	1	1	1	1	2	1	1	1
1	1	2	6	1	1	1	4	1	1	3	1	1	1	2	1	1	1
1	1	2	6	44	1	1	4	1	11	3	1	1	1	1	1	1	1
1	2	3	88	88	1	1	4	1	88	1	1	1	1	2	1	1	1
1	1	2	12	1	1	1	4	1	1	1	1	1	1	2	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	2	6	1	2	3	4	1	1	3	1	1	1	2	1	2	1
1	1	2	3	1	1	1	4	1	1	1	1	1	1	2	1	2	1
1	1	3	6	1	1	1	4	1	2	3	1	1	1	2	1	1	1
1	1	2	5	1	1	1	4	1	1	1	1	1	1	2	1	1	1
1	1	2	6	1	1	1	4	1	1	3	1	1	1	2	1	1	1
1	1	2	88	1	1	1	4	1	2	3	1	1	1	2	1	1	1
1	1	2	6	1	1	1	2	1	4	1	1	1	1	2	1	1	1
1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1
1	1	2	6	1	1	1	4	1	1	3	1	1	1	2	1	1	1
1	1	2	6	4	1	1	4	1	1	3	1	1	1	2	1	1	1
1	1	1	3	1	1	1	1	1	1	1	1	1	1	2	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	2	6	1	1	1	4	1	11	3	1	1	1	2	1	1	1
1	1	1	3	1	1	1	4	1	1	1	1	1	1	2	1	1	1
1	1	2	88	1	1	1	1	1	1	3	1	1	1	2	1	1	1
1	1	31	3	1	1	1	4	1	1	3	1	1	1	2	1	2	1
1	1	3	6	1	1	1	4	1	1	3	1	1	1	2	1	1	1
1	1	2	5	1	1	1	2	1	1	3	1	1	1	2	1	1	1
1	2	2	88	1	1	1	5	1	88	3	1	1	1	2	1	1	1
1	1	1	88	1	1	1	4	1	2	88	1	1	1	2	1	1	1
