Quadrant	Longitude	Latitude	Name	Bogennummer	Sprache
45/28	13,85538	50,78575	LIEBENAU	13372	1
59/44	17,75795578	53,42095415	DZIDNO	1338	1
52/28	15,72674275	50,77629276	WANG-BRￃﾜCKENBERG	13529	1
53/28	15,95486	50,78753	PISARZOWICE	13543	1
54/28	16,20743	50,75691	BOGUSZOW-GORCE	13559	1
48/29	14,65276544	50,9556005	NIEDERLEUTERSDORF/LEUTERSDORF	13655	1
49/29	14,90152069	50,94685019	ROHNAU (-)	13678	1
51/29	15,44277	50,95309	REBISZￃﾓW	13700	1
52/29	15,69243	50,94016	SIEDLECIN	13719	1
53/29	15,97695	50,9281	MYSLOW	13727	1
54/29	16,24996	50,94262	JUGOWA	13745	1
55/27	16,47306	50,57075	WLODOWICE	13830	1
57/27	17,01494	50,57111	BIERNACICE	13869	1
58/27	17,28777	50,56603	RZYMIANY	13887	1
59/27	17,54127	50,56379	SZADURCZYCE	13898	1
56/27	16,75132	50,60111	STOSZOWICE	13929	1
55/28	16,49574	50,74669	LUTOMIA GORNA	13996	1
56/28	16,7247	50,74663	ROZTOCZNIK	14023	1
51/45	15,53822	53,61301	DOBIESZEWO	1403	1
57/28	16,98938	50,73384	LIPOWA	14034	1
59/28	17,51417	50,74342	MICHALOW	14074	1
60/28	17,78334	50,70421	KARCZOW	14092	1
58/28	17,2612	50,75422	JUTRZYNA	14159	1
52/45	15,82664	53,61641	RYDZEWO	1417	1
57/29	17,00388	50,90846	BRZOZA	14234	1
58/29	17,27996	50,91595	JACZKOWICE	14250	1
59/29	17,51786	50,89571	PIASTOWICE	14275	1
55/29	16,5052	50,92217	BOZANOW	14305	1
53/45	16,09713	53,5926	RZEPOWO	1432	1
56/29	16,75854	50,92697	ROGOW SOBOCKI	14321	1
56/25	16,69625742	50,24949279	WￃﾖLFELSDORF (WILKANￃﾓW)	14382	1
54/45	16,3881	53,58605	LUBOWO	1442	1
61/24	18,02571486	50,04538313	THRￃﾖM (TREBOM)	14449	1
55/26	16,43333	50,40879	SZCZYTNA	14458	1
56/26	16,73068	50,40811	JASZKOWA GORNA	14471	1
58/26	17,26018	50,38899	NADZIEJOW	14486	1
52/46	15,86239	53,77752	SMARDZKO	145	1
59/26	17,51572	50,40154	PIORUNKOWICE	14505	1
55/45	16,64922303	53,57923598	STEINFORTH (BRODￅﾹCE)	1451	1
57/25	17,00516	50,27139	BIELICE	14537	1
65/26	19,02622	50,30465	SIEMIANOWICE SLASKIE	14560	1
56/45	16,90083	53,59936	WEGORZEWO SZCZECINECKIE	1461	1
19/22	7,1428	49,58714	NOHFELDEN	14613	1
20/22	7,436449875	49,61119749	ERZWEILER	14635	1
21/22	7,69526	49,62895	NUSSBACH	14670	1
22/22	7,94492	49,62669	DANNENFELS	14693	1
23/22	8,20454	49,63649	MONSHEIM	14724	1
17/23	6,6329076	49,73705783	SANKT MATTHIAS	14752	1
18/23	6,89034	49,75266	BESCHEID	14955	1
19/23	7,16681	49,75594	ALLENBACH	14971	1
61/46	18,31669	53,6553	STARA RZEKA	1499	1
20/23	7,39191	49,77036	BERSCHWEILER BEI KIRN	14999	1
21/23	7,64796	49,7846	BAD SOBERNHEIM	15018	1
22/23	7,92068	49,79459	NEU-BAMBERG	15042	1
23/23	8,19083	49,80215	BECHTOLSHEIM	15066	1
