Language_name	Meaning_number	Meaning_label	Verb_form	Basic_or_derived_coding_frame	Coding_frame_schema	Index_number	Microrole_name	Coding_set_name	Argument_type
Mapudungun	1	EAT	in	Basic	V.subj[1].obj[2] 2 1	1	eater	V.subj	A
Mapudungun	1	EAT	in	Basic	V.subj[1].obj[2] 2 1	2	eaten food	V.obj	P
Mapudungun	2	HUG	rofülün	Basic	V.subj[1].obj[2] 2 1	1	hugger	V.subj	A
Mapudungun	2	HUG	rofülün	Basic	V.subj[1].obj[2] 2 1	2	huggee	V.obj	P
Mapudungun	3	LOOK AT	adkintun	Basic	V.subj[1].obj[2] 2 1	1	looker	V.subj	A
Mapudungun	3	LOOK AT	adkintun	Basic	V.subj[1].obj[2] 2 1	2	looked at entity	V.obj	P
Mapudungun	3	LOOK AT	lelin	Basic	V.subj[1].obj[2] 2 1	1	looker	V.subj	A
Mapudungun	3	LOOK AT	lelin	Basic	V.subj[1].obj[2] 2 1	2	looked at entity	V.obj	P
Mapudungun	4	SEE	pen	Basic	V.subj[1].obj[2] 2 1	1	seeer	V.subj	A
Mapudungun	4	SEE	pen	Basic	V.subj[1].obj[2] 2 1	2	seen entity	V.obj	P
Mapudungun	5	SMELL	ṉümütun	Basic	V.subj[1].obj[2] 2 1	1	smeller	V.subj	A
Mapudungun	5	SMELL	ṉümütun	Basic	V.subj[1].obj[2] 2 1	2	smelled entity	V.obj	P
Mapudungun	6	FEAR	llükan	Basic	V.subj[1].obj[2] 2 1	1	fearer	V.subj	A
Mapudungun	6	FEAR	llükan	Basic	V.subj[1].obj[2] 2 1	2	fear stimulus	V.obj	P
Mapudungun	7	FRIGHTEN	trupefülün	Basic	V.subj[1].obj[2] 2 1	1	frightener	V.subj	A
Mapudungun	7	FRIGHTEN	trupefülün	Basic	V.subj[1].obj[2] 2 1	2	frightenee	V.obj	P
Mapudungun	8	LIKE	ayün (2)	Basic	V.subj[1].obj[2] 2 1	1	liker	V.subj	A
Mapudungun	8	LIKE	ayün (2)	Basic	V.subj[1].obj[2] 2 1	2	liked entity	V.obj	P
Mapudungun	8	LIKE	kümentun	Basic	V.subj[1].obj[2] 2 1	1	liker	V.subj	A
Mapudungun	8	LIKE	kümentun	Basic	V.subj[1].obj[2] 2 1	2	liked entity	V.obj	P
Mapudungun	9	KNOW	kimün	Basic	V.subj[1].obj[2] 2 1	1	knower	V.subj	A
Mapudungun	9	KNOW	kimün	Basic	V.subj[1].obj[2] 2 1	2	known thing/person	V.obj	P
Mapudungun	10	THINK	rakiduamün	Basic	V.subj[1] 1 2+mew	1	thinker	V.subj	S
Mapudungun	10	THINK	rakiduamün	Basic	V.subj[1] 1 2+mew	2	thought content	NP+mew	I
Mapudungun	11	SEARCH FOR	kintun	Basic	V.subj[1].obj[2] 2 1	1	searcher	V.subj	A
Mapudungun	11	SEARCH FOR	kintun	Basic	V.subj[1].obj[2] 2 1	2	searched for thing	V.obj	P
Mapudungun	12	WASH	küchan	Basic	V.subj[1].obj[2] 2 1	1	washer	V.subj	A
Mapudungun	12	WASH	küchan	Basic	V.subj[1].obj[2] 2 1	2	washed entity	V.obj	P
Mapudungun	13	DRESS	takun	Basic	V.subj[1].obj[2] 2 1	1	dresser	V.subj	A
Mapudungun	13	DRESS	takun	Basic	V.subj[1].obj[2] 2 1	2	dressee	V.obj	P
Mapudungun	15	HELP	kellun	Basic	V.subj[1].obj[2] 2 1	1	helper	V.subj	A
Mapudungun	15	HELP	kellun	Basic	V.subj[1].obj[2] 2 1	2	helpee	V.obj	P
Mapudungun	16	FOLLOW	inan	Basic	V.subj[1].obj[2] 2 1	1	follower	V.subj	A
Mapudungun	16	FOLLOW	inan	Basic	V.subj[1].obj[2] 2 1	2	followee	V.obj	P
Mapudungun	17	MEET	trafün	Basic	V.subj[1] 1	1	meeter	V.subj	S
Mapudungun	18	TALK	ngütramkan	Basic	V.subj[1].obj[2] 2 1	1	talker	V.subj	A
Mapudungun	18	TALK	ngütramkan	Basic	V.subj[1].obj[2] 2 1	2	talked to person	V.obj	P
Mapudungun	19	ASK FOR	ngillatun	Basic	V.subj[1].obj[2] 2 3 1	1	asker	V.subj	A
Mapudungun	19	ASK FOR	ngillatun	Basic	V.subj[1].obj[2] 2 3 1	2	askee	V.obj	P
Mapudungun	19	ASK FOR	ngillatun	Basic	V.subj[1].obj[2] 2 3 1	3	requested thing	Ø	X
Mapudungun	20	SHOUT AT	wirarün (1)	Basic	V.subj[1].obj[2] 2 1	1	shouter	V.subj	A
Mapudungun	20	SHOUT AT	wirarün (1)	Basic	V.subj[1].obj[2] 2 1	2	shoutee	V.obj	P
Mapudungun	21	TELL	ngütramün	Basic	V.subj[1].obj[2] 2 1	1	teller	V.subj	A
Mapudungun	21	TELL	ngütramün	Basic	V.subj[1].obj[2] 2 1	2	tellee	V.obj	P
Mapudungun	22	SAY	pin	Basic	V.subj[1].obj[2] 2 3 1	1	sayer	V.subj	A
Mapudungun	22	SAY	pin	Basic	V.subj[1].obj[2] 2 3 1	2	saying addressee	V.obj	P
Mapudungun	22	SAY	pin	Basic	V.subj[1].obj[2] 2 3 1	3	said content	Ø	X
Mapudungun	23	NAME	üytuntukun	Basic	V.subj[1].obj[2] 2 1	1	namer	V.subj	A
Mapudungun	23	NAME	üytuntukun	Basic	V.subj[1].obj[2] 2 1	2	namee	V.obj	P
Mapudungun	24	BUILD	dewman (1)	Basic	V.subj[1].obj[2] 2 1	1	builder	V.subj	A
Mapudungun	24	BUILD	dewman (1)	Basic	V.subj[1].obj[2] 2 1	2	built thing	V.obj	P
Mapudungun	25	BREAK	trafon	Basic	V.subj[1].obj[2] 2 1 3+mew	1	breaker	V.subj	A
Mapudungun	25	BREAK	trafon	Basic	V.subj[1].obj[2] 2 1 3+mew	2	broken thing	V.obj	P
Mapudungun	25	BREAK	trafon	Basic	V.subj[1].obj[2] 2 1 3+mew	3	breaking instrument	NP+mew	I
Mapudungun	25	BREAK	watron	Basic	V.subj[1].obj[2] 2 1 3+mew	1	breaker	V.subj	A
Mapudungun	25	BREAK	watron	Basic	V.subj[1].obj[2] 2 1 3+mew	2	broken thing	V.obj	P
Mapudungun	25	BREAK	watron	Basic	V.subj[1].obj[2] 2 1 3+mew	3	breaking instrument	NP+mew	I
Mapudungun	26	KILL	l̠angümün	Basic	V.subj[1].obj[2] 2 1 3+mew	1	killer	V.subj	A
Mapudungun	26	KILL	l̠angümün	Basic	V.subj[1].obj[2] 2 1 3+mew	2	killee	V.obj	P
Mapudungun	26	KILL	l̠angümün	Basic	V.subj[1].obj[2] 2 1 3+mew	3	killing instrument	NP+mew	I
Mapudungun	27	BEAT	trawawtrawawtun	Basic	V.subj[1].obj[2] 2 1 3+mew	1	beater	V.subj	A
Mapudungun	27	BEAT	trawawtrawawtun	Basic	V.subj[1].obj[2] 2 1 3+mew	2	beatee	V.obj	P
Mapudungun	27	BEAT	trawawtrawawtun	Basic	V.subj[1].obj[2] 2 1 3+mew	3	beating instrument	NP+mew	I
Mapudungun	28	HIT	trawawün	Basic	V.subj[1].obj[2] 2 1 3+mew	1	hitter	V.subj	A
Mapudungun	28	HIT	trawawün	Basic	V.subj[1].obj[2] 2 1 3+mew	2	hittee	V.obj	P
Mapudungun	28	HIT	trawawün	Basic	V.subj[1].obj[2] 2 1 3+mew	3	hitting instrument	NP+mew	I
Mapudungun	29	TOUCH	kachillman	Basic	V.subj[1].obj[2] 2 1 3+mew	1	toucher	V.subj	A
Mapudungun	29	TOUCH	kachillman	Basic	V.subj[1].obj[2] 2 1 3+mew	2	touchee	V.obj	P
Mapudungun	29	TOUCH	kachillman	Basic	V.subj[1].obj[2] 2 1 3+mew	3	touching instrument	NP+mew	I
Mapudungun	30	CUT	katrün	Basic	V.subj[1].obj[2] 2 1 3+mew	1	cutter	V.subj	A
Mapudungun	30	CUT	katrün	Basic	V.subj[1].obj[2] 2 1 3+mew	2	cut thing	V.obj	P
Mapudungun	30	CUT	katrün	Basic	V.subj[1].obj[2] 2 1 3+mew	3	cutting instrument	NP+mew	I
Mapudungun	31	TAKE	nün	Basic	V.subj[1].obj[2] 2 1	1	taker	V.subj	A
Mapudungun	31	TAKE	nün	Basic	V.subj[1].obj[2] 2 1	2	taken thing	V.obj	P
Mapudungun	31	TAKE	tun	Basic	V.subj[1].obj[2] 2 1	1	taker	V.subj	A
Mapudungun	31	TAKE	tun	Basic	V.subj[1].obj[2] 2 1	2	taken thing	V.obj	P
Mapudungun	32	TEAR	kacharnentun	Basic	V.subj[1].obj[2] 2 1	1	tearer	V.subj	A
Mapudungun	32	TEAR	kacharnentun	Basic	V.subj[1].obj[2] 2 1	2	torn thing	V.obj	P
Mapudungun	33	PEEL	chafün	Basic	V.subj[1].obj[2] 2 1	1	peeler	V.subj	A
Mapudungun	33	PEEL	chafün	Basic	V.subj[1].obj[2] 2 1	2	peeled object	V.obj	P
Mapudungun	34	HIDE	llumümün	Basic	V.subj[1].obj[2] 2 1	1	hider	V.subj	A
Mapudungun	34	HIDE	llumümün	Basic	V.subj[1].obj[2] 2 1	2	hidden thing	V.obj	P
Mapudungun	35	SHOW	pengelün	Basic	V.subj[1].obj[2] 2 3 1	1	shower	V.subj	A
Mapudungun	35	SHOW	pengelün	Basic	V.subj[1].obj[2] 2 3 1	2	shown thing	V.obj	P
Mapudungun	35	SHOW	pengelün	Basic	V.subj[1].obj[2] 2 3 1	3	showing addressee	Ø	X
Mapudungun	36	GIVE	elun	Basic	V.subj[1].obj[2] 2 3 1	1	giver	V.subj	A
Mapudungun	36	GIVE	elun	Basic	V.subj[1].obj[2] 2 3 1	2	giving recipient	V.obj	P
Mapudungun	36	GIVE	elun	Basic	V.subj[1].obj[2] 2 3 1	3	gift	Ø	X
Mapudungun	37	SEND	amulün	Basic	V.subj[1].obj[2] 2 1 3+mew	1	sender	V.subj	A
Mapudungun	37	SEND	amulün	Basic	V.subj[1].obj[2] 2 1 3+mew	2	sent thing	V.obj	P
Mapudungun	37	SEND	amulün	Basic	V.subj[1].obj[2] 2 1 3+mew	3	sending recipient	NP+mew	I
Mapudungun	38	CARRY	yen	Basic	V.subj[1].obj[2] 2 1 3+mew	1	carrier	V.subj	A
Mapudungun	38	CARRY	yen	Basic	V.subj[1].obj[2] 2 1 3+mew	2	carried thing	V.obj	P
Mapudungun	38	CARRY	yen	Basic	V.subj[1].obj[2] 2 1 3+mew	3	carrying goal	NP+mew	I
Mapudungun	39	THROW	ütrüfün	Basic	V.subj[1].obj[2] 2 1	1	thrower	V.subj	A
Mapudungun	39	THROW	ütrüfün	Basic	V.subj[1].obj[2] 2 1	2	thrown thing	V.obj	P
Mapudungun	40	TIE	trapelün	Basic	V.subj[1].obj[2] 2 1	1	tier	V.subj	A
Mapudungun	40	TIE	trapelün	Basic	V.subj[1].obj[2] 2 1	2	tied thing	V.obj	P
Mapudungun	40	TIE	trarün	Basic	V.subj[1].obj[2] 2 1	1	tier	V.subj	A
Mapudungun	40	TIE	trarün	Basic	V.subj[1].obj[2] 2 1	2	tied thing	V.obj	P
Mapudungun	41	PUT	elün (2)	Basic	V.subj[1].obj[2] 2 1 3+mew	1	putter	V.subj	A
Mapudungun	41	PUT	elün (2)	Basic	V.subj[1].obj[2] 2 1 3+mew	2	put thing	V.obj	P
Mapudungun	41	PUT	elün (2)	Basic	V.subj[1].obj[2] 2 1 3+mew	3	putting goal	NP+mew	I
Mapudungun	42	POUR	wütruntukun	Basic	V.subj[1].obj[2] 2 1 3+mew	1	pourer	V.subj	A
Mapudungun	42	POUR	wütruntukun	Basic	V.subj[1].obj[2] 2 1 3+mew	2	poured substance	V.obj	P
Mapudungun	42	POUR	wütruntukun	Basic	V.subj[1].obj[2] 2 1 3+mew	3	pouring goal	NP+mew	I
Mapudungun	43	COVER	takun (2)	Basic	V.subj[1].obj[2] 2 1	1	coverer	V.subj	A
Mapudungun	43	COVER	takun (2)	Basic	V.subj[1].obj[2] 2 1	2	covered thing	V.obj	P
Mapudungun	44	FILL	apolün	Basic	V.subj[1].obj[2] 2 1 3+mew	1	filler	V.subj	A
Mapudungun	44	FILL	apolün	Basic	V.subj[1].obj[2] 2 1 3+mew	2	filled container	V.obj	P
Mapudungun	44	FILL	apolün	Basic	V.subj[1].obj[2] 2 1 3+mew	3	filling material	NP+mew	I
Mapudungun	45	LOAD	chechümün	Basic	V.subj[1].obj[2] 2 1 3+mew	1	loader	V.subj	A
Mapudungun	45	LOAD	chechümün	Basic	V.subj[1].obj[2] 2 1 3+mew	2	loading place	V.obj	P
Mapudungun	45	LOAD	chechümün	Basic	V.subj[1].obj[2] 2 1 3+mew	3	loaded thing	NP+mew	I
Mapudungun	46	BLINK	llüpifün	Basic	V.subj[1] 1	1	blinker	V.subj	S
Mapudungun	47	COUGH	chafon	Basic	V.subj[1] 1	1	cougher	V.subj	S
Mapudungun	48	CLIMB	wechun	Basic	V.subj[1] 1 2+mew	1	climber	V.subj	S
Mapudungun	48	CLIMB	wechun	Basic	V.subj[1] 1 2+mew	2	climbing goal	NP+mew	I
Mapudungun	49	RUN	lefün	Basic	V.subj[1] 1	1	runner	V.subj	S
Mapudungun	50	SIT	anün	Basic	V.subj[1] 1 2+mew	1	sitter	V.subj	S
Mapudungun	50	SIT	anün	Basic	V.subj[1] 1 2+mew	2	sitting place	NP+mew	I
Mapudungun	51	SIT DOWN	anün	Basic	V.subj[1] 1 2+mew	1	sitdowner	V.subj	S
Mapudungun	51	SIT DOWN	anün	Basic	V.subj[1] 1 2+mew	2	sitting-down place	NP+mew	I
Mapudungun	52	JUMP	rüngkün	Basic	V.subj[1] 1 2+mew	1	jumper	V.subj	S
Mapudungun	52	JUMP	rüngkün	Basic	V.subj[1] 1 2+mew	2	jump location	NP+mew	I
Mapudungun	53	SING	ülkantun	Basic	V.subj[1] 1	1	singer	V.subj	S
Mapudungun	54	GO	amun	Basic	V.subj[1] 1 2+mew	1	goer	V.subj	S
Mapudungun	54	GO	amun	Basic	V.subj[1] 1 2+mew	2	going goal	NP+mew	I
Mapudungun	55	LEAVE	püntun	Basic	V.subj[1] 1 2+mew	1	leaver	V.subj	S
Mapudungun	55	LEAVE	püntun	Basic	V.subj[1] 1 2+mew	2	left place/person	NP+mew	I
Mapudungun	56	LIVE	mülen	Basic	V.subj[1] 1 2+mew	1	liver	V.subj	S
Mapudungun	56	LIVE	mülen	Basic	V.subj[1] 1 2+mew	2	living place	NP+mew	I
