Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Active-intransitive	Active-intransitive-causative	Causative	Causative with Active-intransitive	Causative with Passive	Causative with Reflexive	Control transitive	Indirective applicative	Indirective applicative with Passive	Lexical suffix with Middle	Middle	Middle with Causative	Middle with Indirective applicative	Middle with Relational applicative	Noncontrol transitive	Passive	Relational applicative	Relational applicative with Passive	Unsuffixed
Sliammon	38	CARRY	kʷinat-t	16, 182	V.obj[1].sbj[2] 1	Regularly	Regularly	Never	No data	No data	No data	Never	No data	No data	No data	No data	No data	No data	No data	Never	Regularly	No data	No data	Never
Sliammon	39	THROW	səytʼ-a-t	17, 233, 234	V.obj[1].sbj[2] 1	Regularly	Regularly	Never	No data	No data	No data	Never	Regularly	No data	No data	Never	No data	No data	No data	Regularly	No data	No data	No data	Never
Sliammon	40	TIE	qʼis-i-t	32	V.obj[1].sbj[2] 1 (obl-3)	Marginally	Regularly	Never	No data	No data	No data	Never	Regularly	No data	No data	Never	No data	No data	No data	Regularly	No data	No data	No data	Never
Sliammon	41	PUT	kʷa(ʔ)-t	45, 46	V.obj[1].sbj[2] 1 (obl-3)	Never	Never	Never	No data	No data	No data	Never	Regularly	No data	No data	No data	No data	No data	No data	Regularly	No data	No data	No data	Never
Sliammon	42	POUR	kʼʷəɬ-aš	40, 41, 42, 43, 44	V.obj[1].sbj[2] 1	Regularly	Regularly	Never	No data	No data	No data	Never	Regularly	No data	No data	No data	No data	No data	No data	Regularly	No data	No data	No data	Regularly
Sliammon	43	COVER	tʼayš-a-t	47, 48, 49, 50, 200, 201	V.obj[1].sbj[2] 1	Never	Regularly	Never	No data	No data	No data	Never	Regularly	No data	No data	Regularly	No data	No data	No data	Regularly	Regularly	No data	No data	Regularly
Sliammon	44	FILL	yaʔčʼ-aš	51, 52, 53, 54, 212	V.obj[1].sbj[2] 1	Regularly	Regularly	Regularly	No data	No data	No data	Never	Regularly	No data	No data	No data	No data	No data	No data	Regularly	No data	Regularly	Regularly	Regularly
Sliammon	45	LOAD	ʔuwuɬ-sxʷ	55, 56	V.obj[1].sbj[2] 1	Never	No data	Never	No data	No data	No data	Never	No data	No data	No data	Never	No data	No data	No data	Never	No data	No data	No data	Regularly
Sliammon	46	BLINK	tʼᶿipʼnəxʷ	107, 218	V.sbj[1] 1	No data	No data	Regularly	No data	No data	No data	Never	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	Never
Sliammon	47	COUGH	tuqʼʷt	18, 189, 190	V.sbj[1] 1	Never	Never	Regularly	No data	No data	No data	No data	No data	No data	No data	Regularly	Regularly	No data	No data	No data	No data	No data	No data	Never
