Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Caused Motion Alternation	Goal Alternation - Prepositional (ʾilâ+ 'to') / Accusative Object	Locative Alternation 1	Locative Alternation 2	Locative Alternation 3	Object Adding Alternation	Object Omission Alternation	Prepositional (bi+) / Accusative object Alternation	Prepositional (min 'from') / Accusative Object Alternation	Stem II Causative	Stem IV Causative	Stem V Anticausative	Stem V Reflexive	Stem VI Passive	Stem VI Reciprocal	Stem VI Reflexive	Stem VII Anticausative	Stem VII Passive	Stem VIII Anticausative	Stem VIII Reciprocal	Stem VIII Reflexive	Stem X Causative	Theme / Recipient Alternation - Prepositional (li+ 'to') / Accusative Object	Theme / Source Alternation - Prepositional (min+ 'from') Accusative Object
Modern Standard Arabic	9	KNOW	ʿalima	172, 173, 175, 176, 207, 208	V.subj[1] 1-nom 2-acc	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never
Modern Standard Arabic	10	THINK	fakkara	38	V.subj[1] 1-nom fī+2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	11	SEARCH FOR	baḥat̠a	10, 46	V.subj[1] 1-nom ʿan+2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	12	WASH	ġasala	13, 47, 62	V.subj[1] 1-nom 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	No data	Never	Never
Modern Standard Arabic	13	DRESS	ʾalbasa	39, 40, 41, 42	V.subj[1] 1-nom 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	14	SHAVE (a body part/person)	ḥalaqa	48, 202	V.subj[1] 1-nom 2-acc	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	15	HELP	sāʿada	49	V.subj[1] 1-nom 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	16	FOLLOW	tabiʿa	50, 51, 52, 211	V.subj[1] 1-nom 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	No data	Regularly	Never	Never
Modern Standard Arabic	17	MEET	laqiya	14, 57, 216	V.subj[1] 1-nom 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Modern Standard Arabic	18	TALK	takallama	53, 54	V.subj[1] 1-nom maʿa+2 ʿan+3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	19	ASK FOR	saʾala	18, 55, 56	V.subj[1] 1-nom (2-acc) 3-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	20	SHOUT AT	ṣāḥa	19, 63	V.subj[1] 1-nom (ʿalâ+2)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	21	TELL	ḥakâ	15, 16	V.subj[1] 1-nom (li+2) 3-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	No data	Never	Never
Modern Standard Arabic	22	SAY	qāla	12, 203, 252	V.subj[1] 1-nom li+2 UTT3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	23	NAME	sammâ	58, 59	V.subj[1] 1-nom 2-acc 3-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	24	BUILD	banâ	20, 60	V.subj[1] 1-nom 2-acc (min+3)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Modern Standard Arabic	25	BREAK	kasara	61, 64, 65, 66	V.subj[1] 1-nom 2-acc (bi+3)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Never
