Language_name	Meaning_number	Meaning_label	Verb_form	Basic_or_derived_coding_frame	Coding_frame_schema	Index_number	Microrole_name	Coding_set_name	Argument_type
Yucatec Maya	1	EAT	haan	Basic	sbj[1].V 1	1	eater	sbj.V	S
Yucatec Maya	1	EAT	haan	Derived	sbj[1].V'extra.obj[3] 3 1	1	eater	sbj.V	
Yucatec Maya	1	EAT	haan	Derived	sbj[1].V'extra.obj[3] 3 1	3	eaten food	V.obj	
Yucatec Maya	1	EAT	haant	Basic	sbj[1].V.obj[2] 2 1	1	eater	sbj.V	A
Yucatec Maya	1	EAT	haant	Basic	sbj[1].V.obj[2] 2 1	2	eaten food	V.obj	P
Yucatec Maya	1	EAT	haant	Derived	sbj[2].V'pass 2 (tumen+1)	1	eater	tumen+NP	
Yucatec Maya	1	EAT	haant	Derived	sbj[2].V'pass 2 (tumen+1)	2	eaten food	sbj.V	
Yucatec Maya	2	HUG	méek'	Basic	sbj[1].V.obj[2] 2 1	1	hugger	sbj.V	A
Yucatec Maya	2	HUG	méek'	Basic	sbj[1].V.obj[2] 2 1	2	huggee	V.obj	P
Yucatec Maya	2	HUG	méek'	Derived	sbj[1/2].V'	1	hugger	sbj.V	
Yucatec Maya	2	HUG	méek'	Derived	sbj[1/2].V'	2	huggee	sbj.V	
Yucatec Maya	2	HUG	méek'	Derived	sbj[2].V'pass 2 (tumen+1)	1	hugger	tumen+NP	
Yucatec Maya	2	HUG	méek'	Derived	sbj[2].V'pass 2 (tumen+1)	2	huggee	sbj.V	
Yucatec Maya	3	LOOK AT	pakat	Basic	sbj[1].V.obj[2] 2 1	1	looker	sbj.V	A
Yucatec Maya	3	LOOK AT	pakat	Basic	sbj[1].V.obj[2] 2 1	2	looked at entity	V.obj	P
Yucatec Maya	3	LOOK AT	pakat	Derived	sbj[1].V'intro 1	1	looker	sbj.V	
Yucatec Maya	3	LOOK AT	pakat	Derived	sbj[1/2].V'	1	looker	sbj.V	
Yucatec Maya	3	LOOK AT	pakat	Derived	sbj[1/2].V'	2	looked at entity	sbj.V	
Yucatec Maya	3	LOOK AT	pakat	Derived	sbj[2].V'pass 2 (tumen+1)	1	looker	tumen+NP	
Yucatec Maya	3	LOOK AT	pakat	Derived	sbj[2].V'pass 2 (tumen+1)	2	looked at entity	sbj.V	
Yucatec Maya	4	SEE	il	Basic	sbj[1].V.obj[2] 2 1	1	seeer	sbj.V	A
Yucatec Maya	4	SEE	il	Basic	sbj[1].V.obj[2] 2 1	2	seen entity	V.obj	P
Yucatec Maya	4	SEE	il	Derived	sbj[1/2].V'	1	seeer	sbj.V	
Yucatec Maya	4	SEE	il	Derived	sbj[1/2].V'	2	seen entity	sbj.V	
Yucatec Maya	4	SEE	il	Derived	sbj[2].V'pass 2 (tumen+1)	1	seeer	tumen+NP	
Yucatec Maya	4	SEE	il	Derived	sbj[2].V'pass 2 (tumen+1)	2	seen entity	sbj.V	
