Language_name	Meaning_number	Meaning_label	Verb_form	Basic_or_derived_coding_frame	Coding_frame_schema	Index_number	Microrole_name	Coding_set_name	Argument_type
Jaminjung	66	SINK	thawu gardbany	Basic	1-abs subj[1].V	1	sunken entity	NP-abs subj.V	S
Jaminjung	67	BURN	garnaya	Basic	1-abs subj[1].V	1	burnt thing	NP-abs subj.V	S
Jaminjung	68	BE DRY	larrman gagba	Basic	1-abs subj[1].V	1	dry thing	NP-abs subj.V	S
Jaminjung	70	BE A HUNTER	lalabangngarna	Basic	1-abs V	1	specialist/hunter	NP-abs	X
Jaminjung	71	GRIND	gardaj ganarrany	Basic	1-erg 2-abs subj[1].obj[2].V 3-instr	1	grinder	NP-erg subj.V	A
Jaminjung	71	GRIND	gardaj ganarrany	Basic	1-erg 2-abs subj[1].obj[2].V 3-instr	2	ground thing	NP-abs obj.V	P
Jaminjung	71	GRIND	gardaj ganarrany	Basic	1-erg 2-abs subj[1].obj[2].V 3-instr	3	grinding instrument	NP-instr	I
Jaminjung	72	WIPE	wunyu ganimangu	Basic	1-erg 2-abs subj[1].obj[2].V	1	wiper	NP-erg subj.V	A
Jaminjung	72	WIPE	wunyu ganimangu	Basic	1-erg 2-abs subj[1].obj[2].V	2	wiping surface	NP-abs obj.V	P
Jaminjung	73	DIG	gurr ganangu	Basic	1-erg 2-abs subj[1].obj[2].V	1	digger	NP-erg subj.V	A
Jaminjung	73	DIG	gurr ganangu	Basic	1-erg 2-abs subj[1].obj[2].V	2	dug up thing	NP-abs obj.V	P
Jaminjung	74	PUSH	durl ganuga	Basic	1-erg 2-abs subj[1].obj[2].V	1	pusher	NP-erg subj.V	A
Jaminjung	74	PUSH	durl ganuga	Basic	1-erg 2-abs subj[1].obj[2].V	2	pushee	NP-abs obj.V	P
Jaminjung	75	BRING	gananthamany	Basic	1-erg 2-abs 3-dat subj[1].obj[2].V	1	bringer	NP-erg subj.V	A
Jaminjung	75	BRING	gananthamany	Basic	1-erg 2-abs 3-dat subj[1].obj[2].V	2	brought thing	NP-abs obj.V	P
Jaminjung	75	BRING	gananthamany	Basic	1-erg 2-abs 3-dat subj[1].obj[2].V	3	bringing recipient	NP-dat	X
Jaminjung	76	STEAL	bunug ganangu	Basic	1-erg 2-abs subj[1].obj[2].V	1	stealer	NP-erg subj.V	A
Jaminjung	76	STEAL	bunug ganangu	Basic	1-erg 2-abs subj[1].obj[2].V	2	stolen thing	NP-abs obj.V	P
Jaminjung	76	STEAL	bunug ganiyunggany	Basic	1-erg 2-abs 3-abs subj[1].obj[2].V	1	stealer	NP-erg subj.V	A
Jaminjung	76	STEAL	bunug ganiyunggany	Basic	1-erg 2-abs 3-abs subj[1].obj[2].V	2	stolen thing	NP-abs obj.V	P
Jaminjung	76	STEAL	bunug ganiyunggany	Basic	1-erg 2-abs 3-abs subj[1].obj[2].V	3	stealing source	NP-abs	X
Jaminjung	77	TEACH	jurriya ganangu	Basic	1-erg 2-abs 3-dat subj[1].obj[2].V	1	teacher	NP-erg subj.V	A
Jaminjung	77	TEACH	jurriya ganangu	Basic	1-erg 2-abs 3-dat subj[1].obj[2].V	2	teachee	NP-abs obj.V	P
Jaminjung	77	TEACH	jurriya ganangu	Basic	1-erg 2-abs 3-dat subj[1].obj[2].V	3	taught content	NP-dat	X
Jaminjung	78	HEAR	malangayij ganuga	Basic	1-erg 2-abs subj[1].obj[2].V	1	hearer	NP-erg subj.V	A
Jaminjung	78	HEAR	malangayij ganuga	Basic	1-erg 2-abs subj[1].obj[2].V	2	heard sound	NP-abs obj.V	P
Jaminjung	79	COOK	ganirriga	Basic	1-erg 2-abs subj[1].obj[2].V	1	cooker	NP-erg subj.V	A
Jaminjung	79	COOK	ganirriga	Basic	1-erg 2-abs subj[1].obj[2].V	2	cooked food	NP-abs obj.V	P
Jaminjung	79	COOK	wirrigaja gagba	Basic	1-abs 2-abs subj[1].V	1	cooker	NP-abs subj.V	S
Jaminjung	79	COOK	wirrigaja gagba	Basic	1-abs 2-abs subj[1].V	2	cooked food	NP-abs	X
Jaminjung	80	BOIL	bud garna	Basic	1-abs subj[1].V	1	boiled thing	NP-abs subj.V	S
Jaminjung	80	BOIL	burrngburrng garna	Basic	1-abs subj[1].V	1	boiled thing	NP-abs subj.V	S
Jaminjung	81	APPEAR	bul ganimangu	Basic	1-abs subj[1].V	1	appearer	NP-abs subj.V	S
Jaminjung	81	APPEAR	bul garumany	Basic	1-abs 2-dat subj[1].V	1	appearer	NP-abs subj.V	S
Jaminjung	81	APPEAR	bul garumany	Basic	1-abs 2-dat subj[1].V	2	appear location	NP-dat	X
Jaminjung	82	BE ILL	warlad gagba	Basic	1-abs subj[1].V	1	sick person	NP-abs subj.V	S
Jaminjung	83	CRY	ngilijga gagba	Basic	1-abs 2-dat subj[1].V	1	crier	NP-abs subj.V	S
Jaminjung	83	CRY	ngilijga gagba	Basic	1-abs 2-dat subj[1].V	2	cried after/for person	NP-dat	X
Jaminjung	84	FALL	gardbany	Basic	1-abs subj[1].V	1	fallee	NP-abs subj.V	S
Jaminjung	85	MAKE	ganilinymany (1)	Basic	1-erg 2-abs subj[1].obj[2].V	1	maker	NP-erg subj.V	A
Jaminjung	85	MAKE	ganilinymany (1)	Basic	1-erg 2-abs subj[1].obj[2].V	2	made thing	NP-abs obj.V	P
Jaminjung	86	GET	ganangu (1)	Basic	1-erg 2-abs subj[1].obj[2].V	1	receiver	NP-erg subj.V	A
Jaminjung	86	GET	ganangu (1)	Basic	1-erg 2-abs subj[1].obj[2].V	2	received thing	NP-abs obj.V	P
Jaminjung	87	WANT	ngunthug ganangu (2)	Basic	1-erg CC2 subj[1].obj[2].V	1	wanter	NP-erg subj.V	X
Jaminjung	87	WANT	ngunthug ganangu (2)	Basic	1-erg CC2 subj[1].obj[2].V	2	wanted thing	CC obj.V	X
Jaminjung	93	HUNT (FOR)	lalabang gajgany	Basic	1-abs 2-dat subj[1].V	1	hunter	NP-abs subj.V	S
Jaminjung	93	HUNT (FOR)	lalabang gajgany	Basic	1-abs 2-dat subj[1].V	2	hunted thing	NP-dat	X
