Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Causative	Causative-Mediopassive	Contentive	Internal Object	Mediopassive	Object Omission	Proprietive	Reciprocal
Eastern Armenian	1	EAT	utel	1, 130, 195, 197	1-nom 2-nomdat V.subj[1]	Marginally	Never	Never	Never	Marginally	Marginally	Never	Never
Eastern Armenian	2	HUG	gɾkel	82	1-nom 2-nomdat V.subj[1]	Never	Never	Never	Never	Regularly	Never	Never	Never
Eastern Armenian	3	LOOK AT	najel	43, 116, 141, 168	1-nom 2-dat V.subj[1]	Never	Never	Never	Never	Marginally	Never	Never	Regularly
Eastern Armenian	4	SEE	tesnel	42, 163, 165, 166	1-nom 2-nomdat V.subj[1]	Never	Never	Never	Never	Regularly	Never	Never	Never
Eastern Armenian	5	SMELL	hototel	83	1-nom 2-nomdat V.subj[1]	Never	Never	Never	Never	Marginally	Never	Never	Never
Eastern Armenian	5	SMELL	hot arnel	84, 167	1-nom 2-gen V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Never
Eastern Armenian	6	FEAR	vaχenal	44, 45, 155	1-nom 2-abl V.subj[1]	Regularly	Never	Never	Never	Never	Never	Never	Never
Eastern Armenian	7	FRIGHTEN	vaχecʰnel	44	1-nom 2-nomdat V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Never
Eastern Armenian	8	LIKE	havanel	46	1-nom 2-nomdat V.subj[1]	Marginally	Never	Never	Never	Marginally	Never	Never	Never
Eastern Armenian	8	LIKE	dur gal	47	1-nom 2-nomdat V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Never
Eastern Armenian	8	LIKE	siɾel	115, 123, 124	1-nom 2-nomdat V.subj[1]	Marginally	Never	Never	Never	Regularly	Never	Never	Never
Eastern Armenian	9	KNOW	čanačʰel	41, 121	1-nom 2-nomdat V.subj[1]	Marginally	Never	Never	Never	Regularly	Never	Never	Never
Eastern Armenian	10	THINK	mtacel	85	1-nom 2+masin V.subj[1]	Never	Never	Never	Never	Regularly	Never	Never	Never
Eastern Armenian	11	SEARCH FOR	pʰntɾel	48	1-nom 2-nomdat V.subj[1]	Never	Never	Never	Never	Regularly	Never	Never	Never
Eastern Armenian	12	WASH	loʁacʰnel	53	1-nom 2-nomdat V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Never
Eastern Armenian	12	WASH	lval	54, 192	1-nom 2-nomdat V.subj[1]	Marginally	Regularly	Never	Never	Never	Never	Never	Never
Eastern Armenian	13	DRESS	hagcʰnel	52	1-nom 2-nomdat V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Never
Eastern Armenian	14	SHAVE (a body part/person)											
Eastern Armenian	15	HELP	ognel	51, 158	1-nom 2-dat V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Never
Eastern Armenian	16	FOLLOW	hetevel	50, 197	1-nom 2-dat V.subj[1]	Marginally	Marginally	Never	Never	Never	Never	Never	Never
Eastern Armenian	17	MEET	handipel	49, 135, 157, 199	1-nom 2-dat V.subj[1]	Marginally	Never	Never	Never	Marginally	Never	Never	Regularly
Eastern Armenian	18	TALK	χosel	40, 200, 201	1-nom 2+het 3+masin V.subj[1]	Regularly	Never	Never	Never	Regularly	Never	Never	Regularly
Eastern Armenian	19	ASK FOR	χndɾel	39, 166	1-nom 2-nomdat 3-abl V.subj[1]	Never	Never	Never	Never	Marginally	Never	Never	Never
Eastern Armenian	20	SHOUT AT	kančʰel	35, 129	1-nom 2-dat V.subj[1]	Marginally	Never	Never	Never	Regularly	Never	Never	Never
Eastern Armenian	20	SHOUT AT	gorgoral	152	1-nom 2-gen+vra V.subj[1]	Marginally	Never	Never	Never	Never	Never	Never	Never
Eastern Armenian	20	SHOUT AT	bacʰakančʰel	36, 185	1-nom 2-dat V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Never
Eastern Armenian	21	TELL	patmel	37	1-nom 2-nomdat 3-dat V.subj[1]	Never	Never	Never	Never	Regularly	Never	Never	Never
Eastern Armenian	22	SAY	asel	34, 134, 159, 184, 186	1-nom UTT2 (3-dat) V.subj[1]	Never	Never	Never	Never	Regularly	Never	Never	Never
Eastern Armenian	23	NAME	anvanel	33	1-nom 2-nomdat 3-nom V.subj[1]	Never	Never	Never	Never	Regularly	Never	Never	Never
Eastern Armenian	24	BUILD	karucʰel	32, 118, 126	1-nom 2-nomdat 3-abl V.subj[1]	Never	Never	Never	Never	Regularly	Never	Never	Never
Eastern Armenian	24	BUILD	šinel	112	1-nom 2-nomdat 3-abl V.subj[1]	Never	Never	Never	Never	Regularly	Never	Never	Never
Eastern Armenian	25	BREAK	ǯaɾdel	31, 162, 182	1-nom 2-nomdat (3-instr) V.subj[1]	Never	Never	Never	Never	Regularly	Never	Never	Never
Eastern Armenian	26	KILL	spanel	30, 132, 186	1-nom 2-nomdat (3-instr) V.subj[1]	Never	Never	Never	Never	Regularly	Never	Never	Never
Eastern Armenian	26	KILL	mahacʰnel	131, 194	1-nom 2-nomdat V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Never
Eastern Armenian	26	KILL	moɾtʰel	125	1-nom 2-nomdat (3-instr) V.subj[1]	Never	Never	Never	Never	Regularly	Never	Never	Never
