Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Accidental Passive	Adversative Passive	Applicative Ablative	Applicative Allative	Applicative Benefactive	Applicative Instrumental	Bare Ablative	Bare Allative	Bare Applicative Transitive	Bare Benefactive	Bare Instrumental	Ditransitive Alternation	Impersonal Passive	Intransitive alternation	No argument stative	Oblique Subject Passive Agentive by-phrase.	Oblique subject Passive Applicative Ditransitive (A P)	Oblique subject Passive Applicative Ditransitive Agentive by-phrase	Oblique Subject Passive Ditransitive	Passive Applicative Transitive	Passive Transitive	Patient Subject Passive Ditransitive Applicative Agentive by-phrase.	Thematic Adversative Passive	Transitive Alternation
Jakarta Indonesian	25	BREAK	patahin	108, 162	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never
Jakarta Indonesian	26	KILL	bunuh	13, 107, 179	1 V 2	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never
Jakarta Indonesian	26	KILL	matiin	147	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never
Jakarta Indonesian	27	BEAT	pukul	63	1 V 2	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never
Jakarta Indonesian	28	HIT	pukul	63	1 V 2	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never
Jakarta Indonesian	28	HIT	gebuk	106	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never
Jakarta Indonesian	29	TOUCH	sentuh	62	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never
Jakarta Indonesian	29	TOUCH	colok	105	1 V 2	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never
Jakarta Indonesian	29	TOUCH	pegang	118	1 V 2	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never
Jakarta Indonesian	30	CUT	potong	35, 99, 139, 146	1 V 2	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Regularly	Regularly	Never	Never	Regularly	Never	Never	Never
Jakarta Indonesian	31	TAKE	ambil	14, 131	1 V 2 dari+3	Regularly	Regularly	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Regularly	Regularly	Never	Never	Never	Regularly	Regularly	Never	Regularly	Regularly	Never	Never	Never
Jakarta Indonesian	32	TEAR	sobek	61, 145	1 V 2	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Regularly	Regularly	Regularly	Never	Never	Never	Regularly	Never	Regularly	Regularly	Never	Never	Never
Jakarta Indonesian	33	PEEL	kupas	127, 170	1 V 2	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Regularly	Never	Regularly	Regularly	Never	Never	Never
Jakarta Indonesian	33	PEEL	kulitin	128, 171	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never
Jakarta Indonesian	34	HIDE	umpetin	21, 60, 144	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Jakarta Indonesian	35	SHOW	tunjukin	103, 161	1 V 2 ke+3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never
Jakarta Indonesian	36	GIVE	kasi	6, 7, 29, 31	1 V 2 3	Never	Never	Never	Regularly	Regularly	Never	Never	Regularly	Never	Regularly	Never	Never	Regularly	Never	Never	Regularly	Never	Regularly	Regularly	Never	Regularly	Never	Never	Never
Jakarta Indonesian	37	SEND	kirim	32, 38, 142, 180	1 V 2 3	Regularly	Never	Never	Regularly	Regularly	Never	Never	Regularly	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Regularly	Regularly	Never	Never	Marginally	Never	Never	Never
Jakarta Indonesian	38	CARRY	bawa	8, 9, 47, 57, 181	1 V 2	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never
Jakarta Indonesian	39	THROW	lempar	23, 37, 40	1 V 2 ke+3	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Regularly	Regularly	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never
Jakarta Indonesian	40	TIE	ikat	24, 141	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never
Jakarta Indonesian	41	PUT	taro	39, 42, 43	1 V 2 LOC3	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never
Jakarta Indonesian	42	POUR	tuang	28, 33, 56	1 V 2 ke+3	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Regularly	Never	Regularly	Regularly	Never	Never	Never
Jakarta Indonesian	43	COVER	tutup	1, 2, 3, 4, 5, 26, 36, 140, 185	1 V 2	Regularly	Never	Never	Never	Regularly	Regularly	Never	Never	Regularly	Regularly	Regularly	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never
Jakarta Indonesian	44	FILL	isi	55	1 V 2 ke+3	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Regularly	Regularly	Regularly	Regularly	Regularly	Regularly	Never	Never	Never
Jakarta Indonesian	44	FILL	penuhin	97, 159	1 V 2	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never
Jakarta Indonesian	45	LOAD	taro	39, 42, 43	1 V 2 LOC3	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never
Jakarta Indonesian	45	LOAD	masuk	34, 41, 102, 160	1 V 2 ke+3	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never
Jakarta Indonesian	45	LOAD	isi	55	1 V 2 ke+3	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Regularly	Regularly	Regularly	Regularly	Regularly	Regularly	Never	Never	Never
Jakarta Indonesian	46	BLINK	ng(k)edip	90	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Jakarta Indonesian	47	COUGH	batuk	79	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Jakarta Indonesian	48	CLIMB	panjat	114	1 V 2	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Jakarta Indonesian	48	CLIMB	naik	136, 174	1 V 2	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Jakarta Indonesian	49	RUN	lari	81	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Jakarta Indonesian	50	SIT	duduk	80	1 V LOC2	Never	Regularly	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never
Jakarta Indonesian	51	SIT DOWN	duduk	80	1 V LOC2	Never	Regularly	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never
Jakarta Indonesian	52	JUMP	loncat	82	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly
Jakarta Indonesian	52	JUMP	lompat	115	1 V	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Jakarta Indonesian	53	SING	nyanyi	83, 155	1 V	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Regularly	Never	Regularly	Never	Never	Never	Regularly
Jakarta Indonesian	54	GO	pergi	20, 154	1 V	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Jakarta Indonesian	55	LEAVE	berangkat	53	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Jakarta Indonesian	56	LIVE	tinggal (1)	84, 156	1 V LOC2	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Regularly	Never	Never	Regularly	Regularly	Never	Regularly	Regularly	Never	Regularly	Never
Jakarta Indonesian	57	LAUGH	ketawa	125	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Jakarta Indonesian	58	SCREAM	teriak	54	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	No data	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Jakarta Indonesian	59	FEEL PAIN	sakit	86	1 V	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Jakarta Indonesian	60	FEEL COLD	dingin	88, 157	1 V	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Regularly	Never	Regularly	Never	Never	Never	Never
Jakarta Indonesian	61	DIE	mati	64	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Jakarta Indonesian	61	DIE	tinggal (2)	156	1 V	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Regularly	Never	Regularly	Regularly	Never	Regularly	Never
Jakarta Indonesian	62	PLAY	main	135, 173	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Jakarta Indonesian	63	BE SAD	sedih	96	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Jakarta Indonesian	64	BE HUNGRY	laper	89	1 V	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Jakarta Indonesian	65	ROLL	gelinding	91	1 V	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Regularly	Never	Regularly	Regularly	Never	Never	Regularly
Jakarta Indonesian	66	SINK	tenggelem	93	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Jakarta Indonesian	67	BURN	nyala	92, 158	1 V	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Regularly	Never	Never	Never	Never
Jakarta Indonesian	68	BE DRY	kering	94, 184	1 V	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Jakarta Indonesian	69	RAIN	ujan	19, 46	V	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Jakarta Indonesian	70	BE A HUNTER	pemburu	95	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Jakarta Indonesian	71	GRIND	giling	122	1 V 2	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Regularly	Never	Never	Never	Regularly	Regularly	Never	Regularly	Regularly	Never	Never	Never
Jakarta Indonesian	72	WIPE	lap	98	1 V 2	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never
Jakarta Indonesian	73	DIG	gali	121	1 V 2	Regularly	Never	Never	Never	Regularly	Regularly	Never	Never	Regularly	Never	Regularly	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never
Jakarta Indonesian	74	PUSH	dorong	129	1 V 2	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never
Jakarta Indonesian	75	BRING	bawa	8, 9, 47, 57, 181	1 V 2	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never
Jakarta Indonesian	76	STEAL	colong	12, 25, 59, 143, 177	1 V 2	Regularly	Regularly	Never	Never	Regularly	Never	Regularly	Never	Regularly	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Regularly	Never	Regularly	Regularly	Never	Regularly	Never
Jakarta Indonesian	76	STEAL	curi	104, 137	1 V 2 dari+3	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never
Jakarta Indonesian	77	TEACH	ajar	10, 11, 49, 50	1 V 2	Never	Never	Never	Regularly	Marginally	Never	Never	Marginally	Never	Never	Never	Regularly	Never	Regularly	Never	Regularly	Regularly	Regularly	Regularly	Never	Never	Never	Never	Never
Jakarta Indonesian	78	HEAR	dengar	123, 169	1 V 2	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Jakarta Indonesian	79	COOK	masak	120	1 V 2	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Regularly	Regularly	Regularly	Never	Never	Regularly	Regularly	Never	Regularly	Regularly	Never	Never	Never
Jakarta Indonesian	80	BOIL	mendidih	52	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
