Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Accidental Passive	Adversative Passive	Applicative Ablative	Applicative Allative	Applicative Benefactive	Applicative Instrumental	Bare Ablative	Bare Allative	Bare Applicative Transitive	Bare Benefactive	Bare Instrumental	Ditransitive Alternation	Impersonal Passive	Intransitive alternation	No argument stative	Oblique Subject Passive Agentive by-phrase.	Oblique subject Passive Applicative Ditransitive (A P)	Oblique subject Passive Applicative Ditransitive Agentive by-phrase	Oblique Subject Passive Ditransitive	Passive Applicative Transitive	Passive Transitive	Patient Subject Passive Ditransitive Applicative Agentive by-phrase.	Thematic Adversative Passive	Transitive Alternation
Jakarta Indonesian	1	EAT	makan	76	1 V 2	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never
Jakarta Indonesian	2	HUG	peluk	124	1 V 2	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never
Jakarta Indonesian	3	LOOK AT	liat	70	1 V 2	Never	Regularly	Never	Regularly	Regularly	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Regularly	Never
Jakarta Indonesian	4	SEE	liat	70	1 V 2	Never	Regularly	Never	Regularly	Regularly	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Regularly	Never
Jakarta Indonesian	5	SMELL	cium	134	1 V 2	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Jakarta Indonesian	6	FEAR	takut	71, 149, 176	1 V 2	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never
Jakarta Indonesian	7	FRIGHTEN	takutin	71, 149	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never
Jakarta Indonesian	8	LIKE	suka	72	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never
Jakarta Indonesian	8	LIKE	seneng	112, 165	1 V 2	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Jakarta Indonesian	9	KNOW	kenal	69	1 V 2	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never
Jakarta Indonesian	10	THINK	pikir	132	1 V	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly
Jakarta Indonesian	11	SEARCH FOR	cari	73	1 V 2	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never
Jakarta Indonesian	12	WASH	mandiin	78, 153	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never
Jakarta Indonesian	12	WASH	cuci	117	1 V 2	Regularly	Never	Never	Never	Regularly	Never	Never	Regularly	Regularly	Never	Never	Regularly	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never
Jakarta Indonesian	13	DRESS	pakein	77, 152	1 V 2 ke+3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never
Jakarta Indonesian	14	SHAVE (a body part/person)	cukur	48, 172	1 V 2	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Regularly	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Jakarta Indonesian	15	HELP	tolong	101, 151	1 V 2	Regularly	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Regularly	Regularly	Never	Never	Never
Jakarta Indonesian	15	HELP	bantu	17, 113, 183	1 V 2	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Regularly	Regularly	Never	Regularly	Regularly	Regularly	Never	Regularly	Regularly	Never	Never	Never
Jakarta Indonesian	16	FOLLOW	ikut	75, 150	1 V 2	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Jakarta Indonesian	17	MEET	ketemu	74	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Jakarta Indonesian	17	MEET	temu	51, 175	1 V 2	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Jakarta Indonesian	18	TALK	bicara	100, 178	1 V ama+2 soal+3	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Jakarta Indonesian	19	ASK FOR	minta	111, 164, 182	1 V 2	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Regularly	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Jakarta Indonesian	20	SHOUT AT	teriak	54	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	No data	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Jakarta Indonesian	21	TELL	cerita	68	1 V ke+2 soal+3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Regularly	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Never
Jakarta Indonesian	21	TELL	kasitahu	30, 110	1 V 2 3	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Regularly	Never	Regularly	Never	Never	Never
Jakarta Indonesian	22	SAY	bilang	67	1 V ke+2 UTT3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Never
Jakarta Indonesian	22	SAY	omong	109, 163	1 V (UTT2)	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly
Jakarta Indonesian	23	NAME																											
Jakarta Indonesian	24	BUILD	bangun	16, 66	1 V 2	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Regularly	Regularly	Regularly	Never	Never	Regularly	Regularly	Never	Regularly	Regularly	Never	Never	Never
Jakarta Indonesian	25	BREAK	pecahin	27, 65, 148	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never
