Language_name	Meaning_number	Meaning_label	Verb_form	Basic_or_derived_coding_frame	Coding_frame_schema	Index_number	Microrole_name	Coding_set_name	Argument_type
Bezhta	1	EAT	yüⁿqal	Basic	1-erg 2-abs abs[2].V	1	eater	NP-erg	A
Bezhta	1	EAT	yüⁿqal	Basic	1-erg 2-abs abs[2].V	2	eaten food	NP-abs & abs.V	P
Bezhta	1	EAT	yüⁿqal	Derived	1-abs 2-instr abs[1].V'antip	1	eater	NP-abs & abs.V	
Bezhta	1	EAT	yüⁿqal	Derived	1-abs 2-instr abs[1].V'antip	2	eaten food	NP-instr	
Bezhta	1	EAT	yüⁿqal	Derived	1-poss 2-abs abs[2].V'pot	1	eater	NP-poss	
Bezhta	1	EAT	yüⁿqal	Derived	1-poss 2-abs abs[2].V'pot	2	eaten food	NP-abs & abs.V	
Bezhta	1	EAT	yüⁿqal	Derived	3-erg 1-abs 2-instr abs[1].V'caus4	1	eater	NP-abs & abs.V	
Bezhta	1	EAT	yüⁿqal	Derived	3-erg 1-abs 2-instr abs[1].V'caus4	2	eaten food	NP-instr	
Bezhta	1	EAT	yüⁿqal	Derived	3-erg 1-abs 2-instr abs[1].V'caus4	3	eat causer/feeder	NP-erg	
Bezhta	2	HUG	aⁿło yoc'al	Basic	1-erg 2-lat V	1	hugger	NP-erg	X
Bezhta	2	HUG	aⁿło yoc'al	Basic	1-erg 2-lat V	2	huggee	NP-lat	X
Bezhta	2	HUG	aⁿło yoc'al	Derived	1-abs 2-lat abs[1].V'antip	1	hugger	NP-abs & abs.V	
Bezhta	2	HUG	aⁿło yoc'al	Derived	1-abs 2-lat abs[1].V'antip	2	huggee	NP-lat	
Bezhta	2	HUG	aⁿło yoc'al	Derived	1-poss 2-lat V'pot	1	hugger	NP-poss	
Bezhta	2	HUG	aⁿło yoc'al	Derived	1-poss 2-lat V'pot	2	huggee	NP-lat	
Bezhta	2	HUG	aⁿło yoc'al	Derived	3-erg 1-instr 2-lat V'caus	1	hugger	NP-instr	
Bezhta	2	HUG	aⁿło yoc'al	Derived	3-erg 1-instr 2-lat V'caus	2	huggee	NP-lat	
Bezhta	2	HUG	aⁿło yoc'al	Derived	3-erg 1-instr 2-lat V'caus	3	hug causer	NP-erg	
Bezhta	3	LOOK AT	goc'oqal	Basic	1-abs 2-poss abs[1].V	1	looker	NP-abs & abs.V	I
