Language_name	Meaning_number	Meaning_label	Verb_form	Alternation_name	Alternation_occurs	Coding_frame_schema
Jakarta Indonesian	1	EAT	makan	Accidental Passive	Regularly	
Jakarta Indonesian	1	EAT	makan	Adversative Passive	Never	
Jakarta Indonesian	1	EAT	makan	Applicative Ablative	Never	
Jakarta Indonesian	1	EAT	makan	Applicative Allative	Never	
Jakarta Indonesian	1	EAT	makan	Applicative Benefactive	Never	
Jakarta Indonesian	1	EAT	makan	Applicative Instrumental	Never	
Jakarta Indonesian	1	EAT	makan	Bare Ablative	Never	
Jakarta Indonesian	1	EAT	makan	Bare Allative	Never	
Jakarta Indonesian	1	EAT	makan	Bare Applicative Transitive	Regularly	
Jakarta Indonesian	1	EAT	makan	Bare Benefactive	Never	
Jakarta Indonesian	1	EAT	makan	Bare Instrumental	Never	
Jakarta Indonesian	1	EAT	makan	Ditransitive Alternation	Never	
Jakarta Indonesian	1	EAT	makan	Impersonal Passive	Never	
Jakarta Indonesian	1	EAT	makan	Intransitive alternation	Regularly	
Jakarta Indonesian	1	EAT	makan	No argument stative	Never	
Jakarta Indonesian	1	EAT	makan	Oblique Subject Passive Agentive by-phrase.	Never	
Jakarta Indonesian	1	EAT	makan	Oblique subject Passive Applicative Ditransitive (A P)	Never	
Jakarta Indonesian	1	EAT	makan	Oblique subject Passive Applicative Ditransitive Agentive by-phrase	Never	
Jakarta Indonesian	1	EAT	makan	Oblique Subject Passive Ditransitive	Never	
Jakarta Indonesian	1	EAT	makan	Passive Applicative Transitive	Regularly	
Jakarta Indonesian	1	EAT	makan	Passive Transitive	Regularly	
Jakarta Indonesian	1	EAT	makan	Patient Subject Passive Ditransitive Applicative Agentive by-phrase.	Never	
Jakarta Indonesian	1	EAT	makan	Thematic Adversative Passive	Never	
Jakarta Indonesian	1	EAT	makan	Transitive Alternation	Never	
Jakarta Indonesian	2	HUG	peluk	Accidental Passive	Regularly	
Jakarta Indonesian	2	HUG	peluk	Adversative Passive	Never	
Jakarta Indonesian	2	HUG	peluk	Applicative Ablative	Never	
Jakarta Indonesian	2	HUG	peluk	Applicative Allative	Never	
Jakarta Indonesian	2	HUG	peluk	Applicative Benefactive	Never	
Jakarta Indonesian	2	HUG	peluk	Applicative Instrumental	Never	
Jakarta Indonesian	2	HUG	peluk	Bare Ablative	Never	
Jakarta Indonesian	2	HUG	peluk	Bare Allative	Never	
Jakarta Indonesian	2	HUG	peluk	Bare Applicative Transitive	Regularly	
Jakarta Indonesian	2	HUG	peluk	Bare Benefactive	Never	
Jakarta Indonesian	2	HUG	peluk	Bare Instrumental	Never	
Jakarta Indonesian	2	HUG	peluk	Ditransitive Alternation	Never	
Jakarta Indonesian	2	HUG	peluk	Impersonal Passive	Never	
Jakarta Indonesian	2	HUG	peluk	Intransitive alternation	Never	
Jakarta Indonesian	2	HUG	peluk	No argument stative	Never	
Jakarta Indonesian	2	HUG	peluk	Oblique Subject Passive Agentive by-phrase.	Never	
Jakarta Indonesian	2	HUG	peluk	Oblique subject Passive Applicative Ditransitive (A P)	Never	
Jakarta Indonesian	2	HUG	peluk	Oblique subject Passive Applicative Ditransitive Agentive by-phrase	Never	
Jakarta Indonesian	2	HUG	peluk	Oblique Subject Passive Ditransitive	Never	
Jakarta Indonesian	2	HUG	peluk	Passive Applicative Transitive	Regularly	
Jakarta Indonesian	2	HUG	peluk	Passive Transitive	Regularly	
Jakarta Indonesian	2	HUG	peluk	Patient Subject Passive Ditransitive Applicative Agentive by-phrase.	Never	
Jakarta Indonesian	2	HUG	peluk	Thematic Adversative Passive	Never	
Jakarta Indonesian	2	HUG	peluk	Transitive Alternation	Never	
Jakarta Indonesian	3	LOOK AT	liat	Accidental Passive	Never	
Jakarta Indonesian	3	LOOK AT	liat	Adversative Passive	Regularly	
Jakarta Indonesian	3	LOOK AT	liat	Applicative Ablative	Never	
Jakarta Indonesian	3	LOOK AT	liat	Applicative Allative	Regularly	
Jakarta Indonesian	3	LOOK AT	liat	Applicative Benefactive	Regularly	
Jakarta Indonesian	3	LOOK AT	liat	Applicative Instrumental	Never	
Jakarta Indonesian	3	LOOK AT	liat	Bare Ablative	Never	
Jakarta Indonesian	3	LOOK AT	liat	Bare Allative	Never	
Jakarta Indonesian	3	LOOK AT	liat	Bare Applicative Transitive	Regularly	
Jakarta Indonesian	3	LOOK AT	liat	Bare Benefactive	Never	
Jakarta Indonesian	3	LOOK AT	liat	Bare Instrumental	Never	
Jakarta Indonesian	3	LOOK AT	liat	Ditransitive Alternation	Regularly	
Jakarta Indonesian	3	LOOK AT	liat	Impersonal Passive	Never	
Jakarta Indonesian	3	LOOK AT	liat	Intransitive alternation	Never	
Jakarta Indonesian	3	LOOK AT	liat	No argument stative	Never	
