Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Ambitransitive alternation	Causative alternation of internally caused change of state predicates and non-locative states	Causative-inchoative alternation of "cooking" predicates	Causative-inchoative alternation of change of location predicates	Causative-inchoative alternation of externally caused change of state predicates	Causative-inchoative-stative alternation of predicates of location, position and configuration	Ditransitive object alternation of IVs	Inchoative-causative alternation of change of location predicates	Inchoative-causative-stative alternation of predicates of location, position and configuration	Locative-object (applicative) Alternation	Locative-recipient alternation	Reflexive-reciprocal alternation of IVs	Telicity alternation	Transitivity alternation of activity predicates	Transitivity alternation of motion predicates	Transitivity alternation of stative predicates	Verbless/verbal clause with predicative nominal=UV
Jaminjung	1	EAT	ganimindany	1	1-erg 2-abs subj[1].obj[2].V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Jaminjung	1	EAT	thawaya gagba	176	1-abs 2-abs subj[1].V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Jaminjung	2	HUG	warrgi ganimuwa	3	1-erg 2-abs subj[1].obj[2].V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	No data	No data	Never	Never	Never	Never
Jaminjung	2	HUG	warrgi ganangu	4	1-erg 2-abs subj[1].obj[2].V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	No data	Never	Never	Never	Never	Never
Jaminjung	3	LOOK AT	mung ganingawu	5, 6	1-erg 2-abs subj[1].obj[2].V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never
Jaminjung	4	SEE	ganingawu	7, 157	1-erg 2-abs subj[1].obj[2].V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never
Jaminjung	5	SMELL	ngabuj ganangu	8, 9, 10, 177	1-erg 2-abs subj[1].obj[2].V	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	No data	Regularly	Never	Never	Never	Never
Jaminjung	6	FEAR	ganiyangmany	11, 12	1-erg 2-abs subj[1].obj[2].V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	No data	Never	Never	Never	Never	Never
Jaminjung	6	FEAR	yarrajgu gagba	155, 156, 157	1-abs 2-dat subj[1].V	Never	No data	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Jaminjung	7	FRIGHTEN	braitenim ganangu	13	1-erg 2-abs subj[1].obj[2].V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	No data	Never	Never	Never	Never
