Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Fi alternation	Fi/ní alternation	Inchoative-causative	Ní/fi alternation	Oblique-dropping	Possessive alternation	Preposition-dropping	Recipient-dropping alternation	Symmetrical alternation	Theme-dropping alternation
Yorùbá	35	SHOW	hàn	75, 76	1 fi+2 V 3	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	36	GIVE	fún	77, 78	1 V 2 ní+3	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Yorùbá	37	SEND	ráns̩é̩	79, 80	1 fi+2 V sí+3	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never
Yorùbá	38	CARRY	gbé	81	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	39	THROW	jù	82, 83, 84	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	40	TIE	dè	85, 87, 88	1 fi+2 V 3	Never	Regularly	Marginally	Never	Never	Never	Never	Never	Never	Never
Yorùbá	40	TIE	so (3)	86, 201	1 fi+2 V 3	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	41	PUT	fi	89, 90, 195, 196	1 V 2 LOC3	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never
Yorùbá	42	POUR	dà	91, 93, 94, 95	1 V 2 LOC3	Never	Never	Regularly	Never	Never	Marginally	Never	Never	Never	Never
Yorùbá	42	POUR	ro̩	92, 202, 203	1 V 2 LOC3	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never
Yorùbá	43	COVER	bò	96, 98, 204	1 fi+2 V 3	Never	Regularly	Marginally	Never	Never	Marginally	Never	Never	Never	Never
Yorùbá	43	COVER	dé	97, 99, 100	1 fi+2 V 3	Never	Regularly	Never	Never	Never	Marginally	Never	Never	Never	Never
Yorùbá	44	FILL	po̩n...kún	101	1 V 2 3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	44	FILL	ro̩...kún	102	1 V 2 3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	45	LOAD	kó	103, 104, 105, 106	1 V 2 LOC3	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Yorùbá	46	BLINK													
Yorùbá	47	COUGH	wúkó̩	108, 109	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never
Yorùbá	48	CLIMB	gùn	110, 111	1 V 2	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never
Yorùbá	49	RUN	sáré	112, 113	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	50	SIT	jókòó	114, 115, 116	1 V LOC2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	51	SIT DOWN													
Yorùbá	52	JUMP	fòsókè	117	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yorùbá	52	JUMP	bé̩sílè̩	118	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
