Language_name	Meaning_number	Meaning_label	Verb_form	Basic_or_derived_coding_frame	Coding_frame_schema	Index_number	Microrole_name	Coding_set_name	Argument_type
Mitsukaido Japanese	1	EAT	ku:	Basic	1-nom 2-acc V	1	eater	NP-nom	A
Mitsukaido Japanese	1	EAT	ku:	Basic	1-nom 2-acc V	2	eaten food	NP-acc	P
Mitsukaido Japanese	1	EAT	ku:	Derived	1-exp 2-acc V'pot	1	eater	NP-exp	
Mitsukaido Japanese	1	EAT	ku:	Derived	1-exp 2-acc V'pot	2	eaten food	NP-acc	
Mitsukaido Japanese	1	EAT	ku:	Derived	2-nom (1-loc/dat) V'pass	1	eater	NP-loc/dat	
Mitsukaido Japanese	1	EAT	ku:	Derived	2-nom (1-loc/dat) V'pass	2	eaten food	NP-nom	
Mitsukaido Japanese	1	EAT	ku:	Derived	4-nom 1-dat 2-acc V'rase	1	eater	NP-dat	
Mitsukaido Japanese	1	EAT	ku:	Derived	4-nom 1-dat 2-acc V'rase	2	eaten food	NP-acc	
Mitsukaido Japanese	1	EAT	ku:	Derived	4-nom 1-dat 2-acc V'rase	4	eat causer/feeder	NP-nom	
Mitsukaido Japanese	2	HUG	dag-u/dakko su-ru	Basic	1-nom 2-acc V	1	hugger	NP-nom	A
Mitsukaido Japanese	2	HUG	dag-u/dakko su-ru	Basic	1-nom 2-acc V	2	huggee	NP-acc	P
Mitsukaido Japanese	2	HUG	dag-u/dakko su-ru	Derived	1-exp 2-acc V'pot	1	hugger	NP-exp	
Mitsukaido Japanese	2	HUG	dag-u/dakko su-ru	Derived	1-exp 2-acc V'pot	2	huggee	NP-acc	
Mitsukaido Japanese	2	HUG	dag-u/dakko su-ru	Derived	2-nom (1-loc/dat) V'pass	1	hugger	NP-loc/dat	
Mitsukaido Japanese	2	HUG	dag-u/dakko su-ru	Derived	2-nom (1-loc/dat) V'pass	2	huggee	NP-nom	
Mitsukaido Japanese	2	HUG	dag-u/dakko su-ru	Derived	4-nom 1-dat 2-acc V'rase	1	hugger	NP-dat	
Mitsukaido Japanese	2	HUG	dag-u/dakko su-ru	Derived	4-nom 1-dat 2-acc V'rase	2	huggee	NP-acc	
Mitsukaido Japanese	2	HUG	dag-u/dakko su-ru	Derived	4-nom 1-dat 2-acc V'rase	4	hug causer	NP-nom	
Mitsukaido Japanese	3	LOOK AT	mi-ru	Basic	1-nom 2-acc V	1	looker	NP-nom	A
Mitsukaido Japanese	3	LOOK AT	mi-ru	Basic	1-nom 2-acc V	2	looked at entity	NP-acc	P
Mitsukaido Japanese	3	LOOK AT	mi-ru	Derived	1-exp 2-acc V'pot	1	looker	NP-exp	
Mitsukaido Japanese	3	LOOK AT	mi-ru	Derived	1-exp 2-acc V'pot	2	looked at entity	NP-acc	
Mitsukaido Japanese	3	LOOK AT	mi-ru	Derived	2-nom (1-loc/dat) V'pass	1	looker	NP-loc/dat	
Mitsukaido Japanese	3	LOOK AT	mi-ru	Derived	2-nom (1-loc/dat) V'pass	2	looked at entity	NP-nom	
