Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	advs 1	advs 1 detransitivized	advs 2	advs 2 detransitivized	antip	antip [coded]	antip/cmpl(caus)/appl	appl 1	appl 2	appl/cmpl(caus)	basic intr	basic tr	cmpl(caus) 1	cmpl(caus) 2a	cmpl(caus)/antip	cmpl(caus)/pass	compl(caus) 2b	dbl.cmpl(caus+spec)	ditr.indir	ditr.indir [coded]	ditr.indir/antip	ditr.indir/pas	ditr.secun	ditr.secun [coded]	ditr.secun/antip	ditr.secun/pas	imprs	imprs [coded]	P > R replacement	P > T replacement	P(means) addition [coded]	P(place) addition	P(place) addition [coded]	pass	pass(pseudo) 1 [coded]	pass(pseudo) 2 [coded]	refl	relational transitive	smpl caus
Central Alaskan Yupik	49	RUN	aqvaqur-	50	1-abs V.subj[1]																																							
Central Alaskan Yupik	50	SIT	aqumvike-	51	1-rel 2-abs V.subj[1].obj[2]																																							
Central Alaskan Yupik	51	SIT DOWN	aqume-	52	1-abs 2-all V.subj[1]																																							
Central Alaskan Yupik	52	JUMP	qeckar-	53	1-abs V.subj[1]																																							
Central Alaskan Yupik	53	SING	atur-	54, 84, 85, 86, 87	1-abs V.subj[1]																																							
Central Alaskan Yupik	54	GO	ayag-	55	1-abs 2-all V.subj[1]																																							
Central Alaskan Yupik	55	LEAVE	ayag-(2)	56	1-abs 2-abm V.subj[1]																																							
Central Alaskan Yupik	56	LIVE	uitalar-	57	1-abs 2-loc V.subj[1]																																							
Central Alaskan Yupik	57	LAUGH	n(g)el'ar-	58	1-abs V.subj[1]																																							
Central Alaskan Yupik	58	SCREAM	aarpag-	59	1-abs V.subj[1]																																							
Central Alaskan Yupik	59	FEEL PAIN	akngir-	60	1-abs V.subj[1]																																							
Central Alaskan Yupik	60	FEEL COLD	qerruc-	61, 118	replace me!																																							
Central Alaskan Yupik	61	DIE	tuqu-	62, 92, 93	1-abs V.subj[1]																																							
Central Alaskan Yupik	62	PLAY	aqui-	63	1-abs V.subj[1]																																							
Central Alaskan Yupik	63	BE SAD	iluteqe-	99	1-abs V.subj[1]																																							
Central Alaskan Yupik	64	BE HUNGRY	kaig-	100	1-abs V.subj[1]																																							
Central Alaskan Yupik	65	ROLL	akag-	101	replace me!																																							
Central Alaskan Yupik	66	SINK	kic-	102	1-abs V.subj[1]																																							
Central Alaskan Yupik	67	BURN	ekua-	103	replace me!																																							
Central Alaskan Yupik	68	BE DRY	kinengqa-	104	1-abs V.subj[1]																																							
Central Alaskan Yupik	69	RAIN	(c)ellallir-	105	1-abs V.subj[1]																																							
Central Alaskan Yupik	70	BE A HUNTER	pissurte-ngu-	106, 107	replace me!																																							
Central Alaskan Yupik	70	BE A HUNTER	pissurte-ke-	117	replace me!																																							
Central Alaskan Yupik	71	GRIND	miili-	116	1-rel 2-abs V.subj[1].obj[2]																																							
Central Alaskan Yupik	72	WIPE	perrir-	108	1-rel 2-abs V.subj[1].obj[2]																																							
Central Alaskan Yupik	73	DIG	elag-	109	replace me!																																							
Central Alaskan Yupik	74	PUSH	cingvike- / (indirective) cinge-	110	1-rel 2-abs 3-all V.subj[1].obj[2]																																							
Central Alaskan Yupik	75	BRING	taic-	111	replace me!																																							
Central Alaskan Yupik	76	STEAL	tegleg-	112	1-rel 2-abs 3-abm V.subj[1].obj[2]																																							
Central Alaskan Yupik	77	TEACH	elitnaur- / elicar-	88, 89	1-rel 2-abs 3-abm V.subj[1].obj[2]																																							
Central Alaskan Yupik	78	HEAR	niic-	113	1-rel 2-abs V.subj[1].obj[2]																																							
Central Alaskan Yupik	79	COOK	kenir-	114	1-abs 2-abm V.subj[1]																																							
Central Alaskan Yupik	80	BOIL	qalla-	115	1-abs V.subj[1]																																							
