Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Causative with instrument causee	Causative with Theme causee	Locative alternation (argument adding)	Locative alternation (argument rearanging)	Locative alternation (oblique to object)	Passive -a alternation	Passive ka- alternation	Resultative ma- alternation
Balinese	22	SAY	ngorahang	22, 125, 170	1 V UTT2 teken+3	Never	Never	Never	Never	Never	Regularly	Regularly	Never
Balinese	23	NAME	ngelunin	23, 126, 171	1 V 2 3	Never	Never	Never	Never	Never	Regularly	Regularly	Never
Balinese	24	BUILD	mangunang	24, 127, 172	1 V 2 aji+3	Never	Never	Never	Never	Never	Regularly	Regularly	Never
Balinese	25	BREAK	melahang	25, 128, 173	1 V 2 aji+3	Never	Never	Never	Never	Never	Regularly	Regularly	Never
Balinese	26	KILL	ngematiang	26, 83, 129, 174, 219	1 V 2 aji+3	Never	Never	Never	Never	Never	Regularly	Regularly	Never
Balinese	27	BEAT	nglempagin	27, 130, 175, 203	1 V 2 aji+3	Never	Never	Never	Never	Never	Regularly	Regularly	Never
Balinese	28	HIT	nglempag	28, 71, 176, 203	1 V 2 aji+3	Regularly	No data	Never	Never	Never	Regularly	Regularly	Regularly
Balinese	29	TOUCH	nundik	29, 72, 131, 177, 204	1 V 2 aji+3	Regularly	No data	Never	Never	Never	Regularly	Regularly	Regularly
Balinese	30	CUT	ngodot	30, 73, 132, 178, 205	1 V 2 aji+3	Regularly	No data	Never	Never	Never	Regularly	Regularly	Regularly
Balinese	31	TAKE	nyemak	31, 88, 133, 179, 206	1 V 2 uli+3	Never	Never	No data	No data	Regularly	Regularly	Regularly	Regularly
Balinese	32	TEAR	nguek	32, 134, 180, 207	1 V 2 uli+3	Never	Never	Never	Never	Never	Regularly	Regularly	Regularly
Balinese	33	PEEL	melutin	33, 135, 181, 208	1 V 2	Never	Never	Never	Never	Never	Regularly	Regularly	Regularly
Balinese	34	HIDE	ngengkebang	34, 89, 136, 182, 209	1 V 2 uli+3	Never	Never	No data	No data	Regularly	Regularly	Regularly	Regularly
Balinese	35	SHOW	ngedengang	35, 90, 137, 183, 210	1 V 2 ke+3	Never	Never	No data	No data	Regularly	Regularly	Regularly	Regularly
Balinese	36	GIVE	maang	36, 91, 138, 184	1 V 2 ke+3	Never	Never	No data	No data	Regularly	Regularly	Regularly	Never
Balinese	37	SEND	ngirimang	37, 92, 139, 185, 211	1 V 2 ke+3	Never	Never	No data	No data	Regularly	Regularly	Regularly	Regularly
Balinese	38	CARRY	ngaba	38, 140, 186, 212	1 V 2 ke+3	Never	Never	Never	Never	Never	Regularly	Regularly	Regularly
Balinese	39	THROW	ngentungang	39, 93, 141, 187, 213	1 V 2 ke+3	Never	Never	No data	Regularly	No data	Regularly	Regularly	Regularly
Balinese	40	TIE	negul	40, 74, 94, 142, 188, 214	1 V 2 aji+3 ke+4	Regularly	No data	No data	No data	Regularly	Regularly	Regularly	Regularly
Balinese	41	PUT	ngejang	41, 95, 143, 189, 215	1 V 2 di+3	Never	Never	No data	No data	No data	Regularly	Regularly	Regularly
