Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Anticausative	Antipassive	Dative applicative ko-	Direct causative	Instrumental applicative e-	Locative applicative o-	Noun incorporation	Object-oriented reciprocal	Reflexive	Subject-oriented reciprocal
Ainu	1	EAT	e	118, 119, 120, 121, 122, 226, 250	1 2 subj[1].obj[2].V	Never	Regularly	Regularly	Regularly	No data	No data	No data	No data	No data	Regularly
Ainu	2	HUG	kisma	168, 169, 170, 171, 172, 173, 174, 251, 252	1 2 subj[1].obj[2].V	Never	Regularly	Regularly	Never	No data	No data	Regularly	No data	No data	Regularly
Ainu	3	LOOK AT	inkar	89, 90, 91, 253	1 2+un subj[1].V	Never	Never	Regularly	No data	Regularly	Regularly	Never	Never	Never	Never
Ainu	4	SEE	nukar	9, 40, 86, 87, 88, 89, 110, 212, 249	1 2 subj[1].obj[2].V	Never	Regularly	Regularly	Regularly	No data	No data	No data	Regularly	No data	Regularly
Ainu	5	SMELL	hurarakkar	167	1 2 subj[1].obj[2].V	Never	No data	No data	Never	No data	No data	No data	No data	No data	No data
Ainu	6	FEAR	sitoma	95, 96, 97, 98, 254, 255, 342	1 2 subj[1].obj[2].V	Never	Regularly	Regularly	Regularly	No data	No data	Never	No data	Regularly	No data
Ainu	7	FRIGHTEN	kimatek-ka	92, 93, 94, 224, 256	1 2 subj[1].obj[2].V	Never	No data	No data	Never	Regularly	No data	No data	No data	No data	No data
Ainu	8	LIKE	eramasu(y)	99, 100, 101, 257, 341	1 2 subj[1].obj[2].V	Never	No data	No data	Regularly	Never	Never	No data	No data	No data	Regularly
Ainu	8	LIKE	omap	102, 103, 104, 105, 258, 259	1 2 subj[1].obj[2].V	Never	Regularly	Regularly	Regularly	No data	No data	No data	No data	No data	Regularly
Ainu	9	KNOW	amkir	83, 84, 85, 260, 261	1 2 subj[1].obj[2].V	Never	No data	Regularly	Regularly	Never	Never	Marginally	No data	Regularly	No data
Ainu	10	THINK	ramu	157, 262, 263, 264	1 2 subj[1].obj[2].V	Never	Regularly	Regularly	Regularly	No data	No data	No data	No data	No data	No data
Ainu	11	SEARCH FOR	hunara	106, 107, 108, 265, 266	1 2 subj[1].obj[2].V	Never	Regularly	Regularly	Regularly	No data	No data	Regularly	No data	No data	No data
Ainu	12	WASH	huray-e (SG) / huray-pa (PL)	125, 126, 267	1 2 subj[1].obj[2].V	Never	Regularly	No data	No data	No data	No data	No data	No data	Regularly	No data
Ainu	13	DRESS	i-mi-re	123, 124, 227, 228, 268	1 2 subj[1].obj[2].V	Never	Never	No data	Never	No data	No data	Never	No data	Regularly	No data
Ainu	14	SHAVE (a body part/person)	memke	175, 176, 177, 213	1 2 subj[1].obj[2].V	Never	Regularly	No data	No data	No data	No data	No data	No data	Regularly	No data
Ainu	15	HELP	kasuy	113, 114, 115, 116, 117, 225	1 2 subj[1].obj[2].V	Never	Regularly	No data	No data	Regularly	No data	No data	No data	Regularly	No data
Ainu	16	FOLLOW	os ek (SG) / arki (PL)	111, 112	1 2 subj[1].obj[2].V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Ainu	17	MEET	nukar	9, 40, 86, 87, 88, 89, 110, 212, 249	1 2 subj[1].obj[2].V	Never	Regularly	Regularly	Regularly	No data	No data	No data	Regularly	No data	Regularly
Ainu	18	TALK	e-ko-itak	81, 82, 223	1 2 3 subj[1].obj[2].V	Never	No data	Never	Never	Never	Never	No data	No data	No data	Regularly
Ainu	19	ASK FOR	ko-tak	79, 80, 339, 340	1 2 3 subj[1].obj[2].V	Never	No data	Never	No data	No data	Never	No data	No data	Marginally	No data
Ainu	20	SHOUT AT	hawekoyki	165, 166	1 2 subj[1].obj[2].V	Never	No data	No data	Never	Marginally	No data	Never	No data	Never	No data
Ainu	21	TELL	nu-re	72, 74, 75, 76, 214	1 2 3 subj[1].obj[2].V	Never	Regularly	Marginally	Never	No data	Never	Regularly	No data	Regularly	Regularly
Ainu	21	TELL	e-ko-isoytak	77, 78, 222	1 2 3 subj[1].obj[2].V	Never	No data	Never	Never	Never	Never	No data	No data	No data	Regularly
Ainu	22	SAY	ye	70, 71, 155, 156, 215	1 2+(e)un 3 subj[1].obj[3].V	Never	Regularly	No data	Never	No data	Never	Never	No data	Regularly	Regularly
Ainu	23	NAME	ye	70, 71, 155, 156, 215	1 2+(e)un 3 subj[1].obj[3].V	Never	Regularly	No data	Never	No data	Never	Never	No data	Regularly	Regularly
Ainu	24	BUILD	kar	67, 68, 69, 216	1 2 (3+ani) subj[1].obj[2].V	Never	No data	No data	Never	Regularly	No data	Marginally	No data	Regularly	Never
Ainu	25	BREAK	per-e (SG) / per-pa (PL)	65, 66, 269	1 2 (3+ani) subj[1].obj[2].V	Regularly	No data	No data	Never	No data	No data	No data	No data	Never	Never
Ainu	26	KILL	ray-ke (SG) / ronnu (PL)	58, 61, 62, 63, 64	1 2 (3+ani) subj[1].obj[2].V	Never	No data	No data	Never	No data	No data	Never	Never	Regularly	Regularly
Ainu	27	BEAT	kik-kik	56, 57, 58, 59, 60, 220, 221	1 2 (3+ani) subj[1].obj[2].V	Never	No data	No data	Never	Regularly	No data	Regularly	Regularly	Regularly	No data
Ainu	28	HIT	kik	161, 162, 163, 164	1 2 (3+ani) subj[1].obj[2].V	Never	No data	Marginally	Never	Regularly	No data	No data	No data	No data	No data
Ainu	29	TOUCH	ker-e (SG)/ker-pa (PL)	248, 270, 271, 272	1 2 (3+ani) subj[1].obj[2].V	Never	No data	No data	Never	Regularly	No data	Regularly	No data	No data	Regularly
Ainu	30	CUT	tuy-e (SG) / tuy-pa (PL)	54, 55	1 2 (3+ani) subj[1].obj[2].V	No data	No data	No data	Never	No data	No data	No data	No data	No data	No data
Ainu	31	TAKE	ko-uk (SG) / ko.uyna (PL)	158, 159, 160, 232, 233, 273, 274	1 2 3 subj[1].obj[2].V	Never	No data	Never	No data	Regularly	No data	Marginally	No data	Never	Regularly
Ainu	32	TEAR	yas-a (SG) / yas-pa (PL)	276, 277	1 2 subj[1].obj[2].V	Regularly	Never	No data	Never	No data	No data	No data	No data	No data	No data
Ainu	33	PEEL	sos-o (SG)/sos-pa (PL)	48, 247, 275	1 2 subj[1].obj[2].V	Regularly	No data	Regularly	Never	No data	No data	No data	No data	No data	No data
Ainu	34	HIDE	ko-nuyna	46, 47, 246, 278	1 2 3 subj[1].obj[2].V	No data	No data	Never	Never	No data	No data	No data	No data	No data	No data
Ainu	35	SHOW	nukar-e	39, 40, 41, 42, 43, 44, 45	1 2 3 subj[1].obj[2].V	Never	No data	No data	Never	Never	Never	Marginally	No data	Regularly	Regularly
Ainu	36	GIVE	kor-e (SG)/kor-pa-re (PL)	35, 36, 37, 38, 245, 279, 280	1 2 3 subj[1].obj[2].V	Never	Marginally	No data	Never	Never	Never	Marginally	Regularly	No data	Regularly
Ainu	37	SEND	arpa-re (SG) / paye-re (PL)	33, 34, 281, 282	1 2+(e)un 3 subj[1].obj[3].V	Never	Never	Regularly	Never	No data	Regularly	Marginally	Never	Never	No data
Ainu	38	CARRY	rúra	25, 26, 27, 28, 29, 30, 31, 32, 283	1 2+(e)un 3 subj[1].obj[3].V	Never	Regularly	Regularly	Never	Regularly	Marginally	Marginally	Never	Never	No data
Ainu	39	THROW	e-yapkir	16, 17, 18, 242, 243	1 2 LOC3 subj[1].obj[2].V	Never	No data	Regularly	Never	Never	Never	No data	No data	Never	Regularly
Ainu	40	TIE	kot-e	5, 6, 7, 240	1 2 LOC3 subj[1].obj[2].V	Never	Never	No data	Never	No data	No data	Regularly	No data	No data	No data
Ainu	41	PUT	an-u (SG) / ari (PL)	12, 13, 14, 15, 284, 285, 338	1 2 LOC3 subj[1].obj[2].V	Never	No data	Regularly	Never	Regularly	Never	No data	No data	No data	No data
Ainu	41	PUT	oma-re (SG) / o (PL)	4, 238, 239, 286, 287	1 2 3 subj[1].obj[2].V	Never	Regularly	No data	Never	No data	No data	No data	No data	Never	No data
