Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Anticausative	Antipassive	Dative applicative ko-	Direct causative	Instrumental applicative e-	Locative applicative o-	Noun incorporation	Object-oriented reciprocal	Reflexive	Subject-oriented reciprocal
Ainu	42	POUR	o-ta	8, 241	1 2 3 subj[1].obj[2].V	Never	No data	No data	Never	No data	Never	Marginally	No data	Never	No data
Ainu	42	POUR	kuta	288, 289, 290	1 2 LOC3 subj[1].obj[2].V	Never	No data	No data	Never	No data	Regularly	No data	No data	Never	Never
Ainu	43	COVER	kamu-re	1, 2, 3, 10, 218	1 2 3 subj[1].obj[2].V	Never	No data	No data	Never	No data	Never	Regularly	Regularly	No data	No data
Ainu	44	FILL	e-sik-te	11, 73, 337	1 2 3 subj[1].obj[2].V	Never	Never	No data	Never	Never	No data	Marginally	No data	No data	No data
Ainu	45	LOAD	oma-re (SG) / o (PL)	4, 238, 239, 286, 287	1 2 3 subj[1].obj[2].V	Never	Regularly	No data	Never	No data	No data	No data	No data	Never	No data
Ainu	46	BLINK	sik-rap-rap-u	178	1 subj[1].V	Never	Never	No data	Never	No data	No data	Never	Never	Never	Never
Ainu	47	COUGH	omke	127	1 subj[1].V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Ainu	48	CLIMB	hemesu (SG) / hemespa (PL)	128, 129, 130	1 LOC2 subj[1].V	Never	Never	Regularly	Never	No data	Regularly	Never	Never	Never	Never
Ainu	49	RUN	hoyupu (SG)/hoyuppa (PL)	134, 135, 136, 137	1 subj[1].V	Never	Never	No data	Never	Regularly	No data	Never	Never	Never	Never
Ainu	49	RUN	pas	306, 307, 308, 309, 310	1 subj[1].V	Never	Never	Regularly	Regularly	Regularly	Regularly	Never	Never	Never	Never
Ainu	50	SIT	a (SG) / rok (PL)	131, 132, 133, 291	1 LOC2 subj[1].V	Never	Never	No data	Regularly	Regularly	No data	Never	Never	Never	Never
Ainu	51	SIT DOWN	a (SG) / rok (PL)	131, 132, 133, 291	1 LOC2 subj[1].V	Never	Never	No data	Regularly	Regularly	No data	Never	Never	Never	Never
Ainu	52	JUMP	tetterke	138, 139, 140	1 subj[1].V	Never	Never	Regularly	Never	No data	No data	Never	Never	Never	Never
Ainu	52	JUMP	hopuni(SG) / hopunpa (PL)	60, 313, 314, 315, 316	1 subj[1].V	Never	Never	Regularly	Regularly	Regularly	No data	Never	No data	Never	Never
Ainu	53	SING	sinotca-ki	148, 149, 231	1 subj[1].V	Never	Never	No data	Never	No data	No data	Never	Never	Never	Never
Ainu	54	GO	arpa (SG) / paye (PL)	33, 85, 141, 142, 143, 144, 184, 229, 230, 317	1 LOC2 subj[1].V	Never	Never	Regularly	Regularly	Regularly	Regularly	Never	Never	Never	Never
Ainu	55	LEAVE	arpa (SG) / paye (PL)	33, 85, 141, 142, 143, 144, 184, 229, 230, 317	1 LOC2 subj[1].V	Never	Never	Regularly	Regularly	Regularly	Regularly	Never	Never	Never	Never
Ainu	55	LEAVE	hop-i (SG)/hop-pa (PL)	318, 319, 320, 321, 322, 323	1 2 subj[1].obj[2].V	Never	Regularly	Regularly	Never	Never	No data	Regularly	No data	Never	No data
Ainu	56	LIVE	an (SG) / oka (PL)	12, 145, 146, 324, 325	1 LOC2 subj[1].V	Never	Never	Regularly	Regularly	Regularly	No data	Never	Never	Never	Never
Ainu	57	LAUGH	mina	179, 180, 181, 292	1 subj[1].V	Never	Never	No data	Regularly	Regularly	No data	Never	Never	Never	Never
Ainu	58	SCREAM	kirirse	182, 183	1 subj[1].V	Never	Never	No data	No data	No data	No data	Never	Never	Never	Never
Ainu	59	FEEL PAIN	koni	185, 186	1 2 subj[1].obj[2].V	Never	Marginally	No data	No data	No data	Never	Never	Never	Never	Never
Ainu	59	FEEL PAIN	arka	187, 293	1 subj[1].V	Never	Never	No data	Regularly	No data	No data	Never	Never	Never	Never
Ainu	60	FEEL COLD	merayke	190	1 subj[1].V	Never	Never	No data	No data	No data	No data	Never	Never	Never	Never
Ainu	61	DIE	ray	57, 61, 150, 151	1 subj[1].V	Never	Never	No data	Regularly	Marginally	No data	Never	Never	Never	Never
Ainu	62	PLAY	sinot	188, 189, 217, 294, 295	1 subj[1].V	Never	Never	No data	Regularly	Regularly	Regularly	Never	Never	Never	Never
Ainu	63	BE SAD	mismu	191, 192	1 subj[1].V	Never	Never	No data	No data	Regularly	No data	Never	Never	Never	Never
Ainu	64	BE HUNGRY	i-p-e-rusuy	153, 296	1 subj[1].V	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Ainu	65	ROLL	karkarse	197, 198, 199, 297	1 subj[1].V	Never	Never	Marginally	Regularly	No data	Never	Never	Never	Never	Never
Ainu	66	SINK	rer	195, 196, 298	1 subj[1].V	Never	Never	No data	Regularly	No data	Regularly	Never	Never	Never	Never
Ainu	67	BURN	uhuy	8, 193, 299	1 subj[1].V	Never	Never	No data	Regularly	No data	No data	Never	Never	Never	Never
Ainu	68	BE DRY	sat	194, 300	1 subj[1].V	Never	Never	No data	Regularly	No data	No data	Never	Never	Never	Never
Ainu	69	RAIN	(apto) as	154, 301, 302	V	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Ainu	70	BE A HUNTER	isonkur ne	109, 303	1 subj[1].V	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Ainu	71	GRIND	uta	152, 330, 331	1 2 subj[1].obj[2].V	Never	Regularly	No data	Never	No data	No data	No data	No data	Never	Never
Ainu	72	WIPE	nu-w-e (SG)/nú-pa (PL)	49, 50, 51, 52, 53, 219	1 2 subj[1].obj[2].V	Never	Marginally	Regularly	Never	No data	Regularly	Marginally	No data	No data	No data
Ainu	73	DIG	ta	9, 241, 287, 332, 333	1 2 subj[1].obj[2].V	Never	No data	No data	Never	No data	No data	Regularly	No data	Never	Never
Ainu	74	PUSH	oputuy-e (SG)/ oputuy-pa (PL)	335, 336	1 2 LOC3 subj[1].obj[2].V	Never	No data	Regularly	Never	No data	No data	No data	No data	No data	No data
Ainu	75	BRING	ko-ani (SG) / ko-anpa (PL)	19, 20, 21, 22, 244	1 2 3 subj[1].obj[2].V	Never	Never	Never	Never	Never	Never	No data	Never	No data	Regularly
Ainu	75	BRING	kor wa ek (SG) / arki (PL)	23, 24	1 2 subj[1].obj[2].V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Ainu	76	STEAL	ko-e-ikka	200, 234, 235, 236	1 2 3 subj[1].obj[2].V	Never	No data	Never	Never	Never	No data	No data	No data	No data	No data
Ainu	77	TEACH	e-pakasnu	201, 202, 203, 204, 237, 304	1 2 3 subj[1].obj[2].V	Never	Regularly	No data	Never	No data	No data	Marginally	No data	No data	Regularly
Ainu	78	HEAR	nu	58, 72, 209, 210, 211, 305	1 2 subj[1].obj[2].V	Never	Regularly	Regularly	Regularly	No data	No data	No data	No data	Regularly	No data
Ainu	79	COOK	suw-e (SG)/sú-pa (PL)	334	1 2 subj[1].obj[2].V	Never	No data	No data	Never	No data	No data	No data	No data	Never	Never
Ainu	80	BOIL	pop	328, 329	1 subj[1].V	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
