Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Applicative 1	Applicative 2	Applicative 3	Applicative 4	Causative1	Causative2	Labile	Reflexive
Mapudungun	1	EAT	in	48	V.subj[1].obj[2] 2 1	Marginally	Regularly	Never	Never	No data	No data	Regularly	Never
Mapudungun	2	HUG	rofülün	67	V.subj[1].obj[2] 2 1	Never	Never	Never	Never	Never	Never	Never	Marginally
Mapudungun	3	LOOK AT	lelin	37	V.subj[1].obj[2] 2 1	Regularly	Regularly	Never	Never	Never	Never	Regularly	Regularly
Mapudungun	3	LOOK AT	adkintun	38	V.subj[1].obj[2] 2 1	Regularly	Regularly	Never	Never	Never	Never	Regularly	Never
Mapudungun	4	SEE	pen	36, 113, 114	V.subj[1].obj[2] 2 1	Regularly	Regularly	Never	Never	Never	Never	Never	Regularly
Mapudungun	5	SMELL	ṉümütun	68	V.subj[1].obj[2] 2 1	Regularly	Regularly	Never	Never	Never	Never	Never	Marginally
Mapudungun	6	FEAR	llükan	40	V.subj[1].obj[2] 2 1	Regularly	Never	Never	Never	No data	No data	Marginally	Marginally
Mapudungun	7	FRIGHTEN	trupefülün	39	V.subj[1].obj[2] 2 1	Regularly	Regularly	Never	Never	Never	Never	Never	Marginally
Mapudungun	8	LIKE	kümentun	42	V.subj[1].obj[2] 2 1	Never	Never	Never	Never	Never	Never	Never	Marginally
Mapudungun	8	LIKE	ayün (2)	41	V.subj[1].obj[2] 2 1	Never	Never	Never	Never	Regularly	Never	Never	Regularly
Mapudungun	9	KNOW	kimün	35	V.subj[1].obj[2] 2 1	Never	Regularly	Never	Never	Regularly	Never	Never	Marginally
Mapudungun	10	THINK	rakiduamün	69, 124	V.subj[1] 1 2+mew	No data	No data	Never	Regularly	Never	Never	Regularly	Marginally
Mapudungun	11	SEARCH FOR	kintun	43	V.subj[1].obj[2] 2 1	Regularly	No data	Never	Never	Never	Never	Regularly	Marginally
Mapudungun	12	WASH	küchan	50	V.subj[1].obj[2] 2 1	Regularly	Marginally	Never	Never	Never	Never	Never	Never
Mapudungun	13	DRESS	takun	49	V.subj[1].obj[2] 2 1	Regularly	Regularly	Never	Never	Never	Never	Never	Never
Mapudungun	14	SHAVE (a body part/person)											
Mapudungun	15	HELP	kellun	47	V.subj[1].obj[2] 2 1	Regularly	Never	Never	Never	Never	Never	Regularly	Marginally
Mapudungun	16	FOLLOW	inan	46	V.subj[1].obj[2] 2 1	Regularly	Regularly	Never	Never	Never	Never	Never	Never
Mapudungun	17	MEET	trafün	45, 137	V.subj[1] 1	Never	Regularly	Regularly	Regularly	Never	Never	Never	Never
Mapudungun	18	TALK	ngütramkan	33, 34, 133	V.subj[1].obj[2] 2 1	Regularly	Marginally	Never	Regularly	Never	Never	Regularly	Never
Mapudungun	19	ASK FOR	ngillatun	32, 102	V.subj[1].obj[2] 2 3 1	No data	Regularly	Never	Never	Never	Never	No data	Never
Mapudungun	20	SHOUT AT	wirarün (1)	28, 29	V.subj[1].obj[2] 2 1	Marginally	Marginally	Never	Never	Marginally	Never	Regularly	Never
Mapudungun	21	TELL	ngütramün	30, 123, 135	V.subj[1].obj[2] 2 1	Regularly	Never	Never	Regularly	Never	Never	Never	Never
Mapudungun	22	SAY	pin	27, 31, 111, 112	V.subj[1].obj[2] 2 3 1	Regularly	Regularly	Never	Never	Never	Never	Never	Never
Mapudungun	23	NAME	üytuntukun	82	V.subj[1].obj[2] 2 1	Regularly	Never	Never	Never	Never	Never	Never	Marginally
