Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Accidental/Potential Intransitive Alternation	Accidental/Potential Transitive Alternation	Ambitransitive Alternation	Antipassive 1 Alternation	Antipassive 2 Alternation	Causative with -k'	Causative with -l/-ll	Causative with golal	Causative with yowal	Instrument Alternation	Object Incorporation Alternation	Potential Alternation	Potential Transitivizing Alternation	Recipient/Goal/Location Alternation 1	Recipient/Goal/Location Alternation 2
Bezhta	15	HELP	komak bowal	12, 157, 233	1-erg 2-lat V	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	16	FOLLOW	müɣäƛ yeⁿƛ'al	24, 189, 260, 301	1-abs 2-com abs[1].V	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	17	MEET	keziyaqal	51, 127	1-erg 2-abs abs[2].V	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never
Bezhta	18	TALK	yiq'lašal	266, 267, 268, 282	1-abs 2-poss abs[1].V	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	19	ASK FOR	harziyowal	55, 198, 243	1-erg 2-poss 3-abs abs[3].V	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	20	SHOUT AT	lalaƛal	29, 66, 192, 246	1-erg 2-sup V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	21	TELL	xabar meyal	14, 101, 107, 159, 214, 232	1-erg 2-lat V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	22	SAY	nisal	13, 158, 231	1-erg 2-poss UTT3 V	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	23	NAME	caaⁿ gulal	31, 169, 179, 239	1-erg 2-sup V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	24	BUILD	no verbal counterpart		N/A	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Bezhta	25	BREAK	yišelal	56, 120, 285	1-erg 2-abs 3-instr abs[2].V	Never	Regularly	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Bezhta	26	KILL	yiƛ'al (1)	17, 162, 230, 289	1-erg 2-abs 3-instr abs[2].V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	27	BEAT	yäƛ'elal	57, 58, 100, 199, 229	1-erg 2-lat 3-abs abs[3].V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Regularly	Never	Regularly	Never	Never	Never
Bezhta	28	HIT	yäƛ'elal	57, 58, 100, 199, 229	1-erg 2-lat 3-abs abs[3].V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Regularly	Never	Regularly	Never	Never	Never
Bezhta	29	TOUCH	yeⁿxelal	62, 186, 278	1-erg 2-lat 3-abs abs[3].V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Bezhta	30	CUT	yüč'al	23, 99, 121, 188, 227	1-erg 2-abs 3-instr abs[2].V	Never	Regularly	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	31	TAKE	yokčal	30, 105, 178, 236	1-erg 2-possabl 3-abs abs[3].V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	32	TEAR	yäxelal	32, 180, 283	1-erg 2-abl 3-abs abs[3].V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	33	PEEL	no verbal counterpart	11	N/A	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Bezhta	34	HIDE	yuⁿcal (1)	25, 216, 225	1-erg 2-abl 3-abs abs[3].V	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	35	SHOW	yegalal	77, 206	1-erg 2-lat 3-abs abs[3].V	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Bezhta	36	GIVE	niƛal	59, 60, 61, 68, 200, 221	1-erg 2-lat 3-abs abs[3].V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Regularly	Never
Bezhta	37	SEND	yeⁿyal	71, 72, 130, 171, 219	1-erg 2-lat 3-abs abs[3].V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Regularly
Bezhta	38	CARRY	yezal	75, 76, 95, 131, 217	1-erg 2-lat 3-abs abs[3].V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Regularly
Bezhta	39	THROW	yiƛ'al (2)	86, 87, 88, 89, 93, 210, 213	1-erg 2-lat 3-abs abs[3].V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Regularly	Regularly
Bezhta	40	TIE	yiⁿcal	19, 143, 164, 209	1-erg 2-abs 3-instr LOC4 abs[2].V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	41	PUT	gulal	21, 92, 166, 272	1-erg LOC2 3-abs abs[3].V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	42	POUR	git'al	20, 91, 165, 211	1-erg LOC2 3-abs abs[3].V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	43	COVER	yoq'olal	64, 133, 202	1-erg 2-abs 3-sup abs[2].V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Bezhta	44	FILL	yoc'lal	40, 196, 299	1-erg 2-abs abs[2].V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Bezhta	45	LOAD	yoⁿsal	22, 174, 175, 207	1-erg LOC2 3-abs abs[3].V	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never
Bezhta	46	BLINK	häydä pacpaƛal	39, 117, 146, 235, 291	V	Regularly	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never
Bezhta	47	COUGH	öhƛäl	38, 70, 195, 245	1-erg V	Never	Never	Never	Regularly	Never	Never	Never	Marginally	Never	Never	Never	Regularly	Never	Never	Never
