Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Ambitransitive Alternation 1	Ambitransitive Alternation 2	Applicative alternation	Causative alternation	Conative alternation	Impersonal alternation	Middle alternation	Nominalization alternation	Object Omission alternation	Oblique/Direct alternation	Reflexive/Reciprocal omission alternation
Xârâcùù	63	BE SAD	nârâyaa	111, 112	1 > V	Never	Never	Never	Never	Never	Never	No data	Regularly	Never	Never	No data
Xârâcùù	64	BE HUNGRY	mêrê	62, 186, 248	1 > V	No data	Never	Never	Regularly	Never	Never	No data	Regularly	Never	Never	Never
Xârâcùù	65	ROLL	cipwîrî	122	1 > V	Never	Never	Never	Regularly	No data	Never	Never	Regularly	Never	Never	Never
Xârâcùù	66	SINK	mutu	113, 274	1 > V	No data	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never
Xârâcùù	67	BURN	kê (1)	114, 115, 182	1 > V	Never	Regularly	Never	Regularly	Never	No data	Never	Regularly	Never	Never	Never
Xârâcùù	68	BE DRY	mëtë	116, 117, 118	1 > V	Never	Never	Never	Regularly	Never	No data	Never	Regularly	Never	Never	Never
Xârâcùù	69	RAIN	xwa	2, 159, 237	1 > V	Never	Never	Never	Regularly	Never	No data	Never	No data	Never	Never	Never
Xârâcùù	69	RAIN	kwiè	238, 239	V	Never	Never	Never	Never	Never	Regularly	Never	Regularly	Never	Never	Never
Xârâcùù	70	BE A HUNTER	acaa	55, 251	1 > V	Never	Never	Never	Marginally	Never	Never	Never	No data	Never	Never	Never
Xârâcùù	71	GRIND	bikörö	119	1 > V 2 (ngê+3)	Never	Never	Never	Regularly	No data	No data	Never	Marginally	No data	Never	Never
Xârâcùù	72	WIPE	jee	28, 29, 327, 328	1 > V 2 (kè+3)	Never	Never	Never	Regularly	No data	No data	Never	Regularly	Never	No data	No data
Xârâcùù	73	DIG	kîî	120, 183	1 > V 2	Never	Never	Never	Regularly	No data	No data	Never	Regularly	No data	No data	Never
Xârâcùù	73	DIG	sëi	121, 288	1 > V 2 (ngê+3)	Never	Never	Never	Regularly	No data	No data	Never	Regularly	Marginally	No data	No data
Xârâcùù	73	DIG	ja	161, 184, 329, 330, 346	1 > V 2	Never	Never	Never	Regularly	No data	No data	Never	Regularly	No data	No data	Never
Xârâcùù	74	PUSH	sùù	218, 323, 324	1 > V 2	Never	Never	Never	Regularly	No data	No data	Never	Regularly	No data	No data	No data
Xârâcùù	75	BRING	pè mê	16, 17, 185	1 > V 2 (LOC3)	Never	Never	Never	No data	No data	No data	No data	No data	No data	No data	No data
Xârâcùù	75	BRING	mê kèrè	18	1 > V 2 xù+3	Never	Never	Never	Marginally	No data	No data	Never	Regularly	Never	No data	No data
Xârâcùù	76	STEAL	pêdè	25, 207, 208	1 > V 2 taa+3	Never	Never	Never	Marginally	No data	No data	No data	Regularly	No data	Marginally	No data
Xârâcùù	77	TEACH	faînû	65, 66, 301	1 > V ngê+2 xù+3	Never	Never	Never	Marginally	No data	No data	Never	Regularly	No data	Regularly	No data
Xârâcùù	78	HEAR	xwata	123, 124, 125, 225, 226, 270, 287, 305	1 > V 2	Never	Never	Never	Regularly	No data	No data	Never	Regularly	Regularly	No data	No data
Xârâcùù	79	COOK	chutââ	228, 298	1 > V 2	Never	Never	Never	Marginally	No data	No data	Never	Regularly	No data	No data	Never
Xârâcùù	80	BOIL	bö	126, 167	1 > V	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never
