Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Active/Passive Alternation	Antipassive Middle	Causative Alternation	Causative Derivation 1	Causative Derivation 2	Deobjective Alternation	Intransitive/Middle Alternation	Noncausative Alternation	Object/Oblique Permutation	Oblique/Object Alternation	Postposition Incorporation	Subject/Oblique Alternation
Mandinka	1	EAT	dómo	10, 11, 12, 13, 14	1 > 2 > V	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never
Mandinka	2	HUG	míniŋ	15, 16, 17, 18, 19	1 > V > 2+la	Never	Never	Regularly	Never	Marginally	Never	Marginally	No data	Never	Marginally	Never	Never
Mandinka	3	LOOK AT	féle	23	1 > 2 > V	Marginally	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never
Mandinka	4	SEE	jé	24, 25, 26	1 > 2 > V	Regularly	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never
Mandinka	5	SMELL	súmbu	27	1 > 2 > V	Marginally	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never
Mandinka	6	FEAR	sílaŋ	28, 29	1 > V > 2+la	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Mandinka	7	FRIGHTEN	sílándi	29	1 > 2 > V	Marginally	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never
Mandinka	8	LIKE	lafi	30, 31, 32, 33	1 > V > 2+la	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Mandinka	8	LIKE	kanu	34, 35	1 > 2 > V	Marginally	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never
Mandinka	8	LIKE	díyaa	264	1 > V > 2+ye	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Mandinka	9	KNOW	lóŋ	20, 21, 22	1 > 2 > V	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Mandinka	10	THINK	í míira	36, 37	1 > V > 2+la	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Mandinka	11	SEARCH FOR	ñíni	38	1 > 2 > V	Marginally	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never
Mandinka	12	WASH	kuu	39, 40, 41, 42, 43, 44	1 > 2 > V	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never
Mandinka	13	DRESS	duŋ (1)	70, 71, 72, 73, 74, 75	1 > 2 > V > 3+la	Marginally	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never
Mandinka	14	SHAVE (a body part/person)	líi	76, 77	1 > 2 > V	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never
Mandinka	15	HELP	máakóyi	45	1 > 2 > V	Marginally	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never
Mandinka	16	FOLLOW	báyíndi	46	1 > 2 > V	Marginally	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never
Mandinka	16	FOLLOW	bula (2)	53	1 > V > 2+nooma	Never	No data	Never	No data	No data	No data	No data	No data	No data	No data	No data	No data
Mandinka	17	MEET	beŋ	3, 4, 5, 6, 7	1 > V	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Mandinka	17	MEET	tara	8, 9	1 > 2 > V	Marginally	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Mandinka	18	TALK	fó	57, 58, 59, 60, 61, 62	1 > 2 > V > 3+ye	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never
Mandinka	18	TALK	kúma	257, 258, 259, 260	1 > V (> 2+ye)	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never
Mandinka	19	ASK FOR	dáani	63, 64	1 > 2 > V > 3+la	Regularly	Never	Never	Never	Marginally	Never	Never	Never	Regularly	Never	Never	Never
Mandinka	20	SHOUT AT	sári	65, 67, 68, 69	1 > V (> LOC2)	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Regularly	Never	Never
Mandinka	21	TELL	fó	57, 58, 59, 60, 61, 62	1 > 2 > V > 3+ye	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never
Mandinka	21	TELL	no verbal counterpart	177, 178	N/A	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never
Mandinka	22	SAY															
Mandinka	23	NAME	tóo láa	66	1 > 2 > V > 3+la	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Mandinka	23	NAME	kúmándi (2)	273	1 > 2 > V > 3+la	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never
