Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Adversative Passive	Decausative	Personal passive	Reciprocal	Resultative
Evenki	63	BE SAD	merge-	71	1-nom V	Never	Never	Never	Never	Never
Evenki	64	BE HUNGRY	d’em-mu-	57	1-nom V	Never	Never	Never	Never	Never
Evenki	65	ROLL	sirun-	72, 102	1-nom V	Never	Never	Never	Never	Regularly
Evenki	66	SINK	eje-	73	1-nom V	Never	Never	Never	Never	Never
Evenki	67	BURN	d’egde-	74, 94	1-nom V	Marginally	Never	Never	Never	Never
Evenki	68	BE DRY	olgokin bi-	75	1-nom V	Never	Never	Never	Never	Never
Evenki	69	RAIN	udun-	58, 88	1-nom V	Marginally	Never	No data	Never	Never
Evenki	70	BE A HUNTER	bejumimni bi-	76	1-nom V	Never	Never	Never	Never	Never
Evenki	71	GRIND	huku-	77	1-nom 2-acc 3-instr V	Never	Never	Regularly	Never	Never
Evenki	72	WIPE	tesi-	17	1-nom 2-acc 3-abl V	Never	Never	Regularly	Never	Never
Evenki	73	DIG	ulee-	78	1-nom 2-acc V	Never	Never	Regularly	Never	Never
Evenki	74	PUSH	ana-	79	1-nom 2-acc 3-loc V	Never	Never	Regularly	Regularly	Never
Evenki	75	BRING	eme-v-	8	1-nom 2-acc 3-dat V	Never	Never	Regularly	Never	Never
Evenki	76	STEAL	d’oromo-	14, 91	1-nom 2-acc 3-abl V	Marginally	Never	Regularly	Never	Never
Evenki	77	TEACH	alagu-	80	1-nom 2-acc 3-dat V	Never	Never	Regularly	Regularly	Never
Evenki	78	HEAR	dooldy-	81	1-nom 2-acc V	Never	Never	Regularly	Regularly	Never
Evenki	79	COOK	irii-	82	1-nom 2-acc V	Never	Never	Regularly	Never	Never
Evenki	80	BOIL	huju-	83	1-nom V	Never	Never	Never	Never	Never
