Language_name	Meaning_number	Meaning_label	Verb_form	Basic_or_derived_coding_frame	Coding_frame_schema	Index_number	Microrole_name	Coding_set_name	Argument_type
Nen	1	EAT	nne	Basic	1-erg 2-abs und[2].V.act[1]	1	eater	NP-erg & V.act	A
Nen	1	EAT	nne	Basic	1-erg 2-abs und[2].V.act[1]	2	eaten food	NP-abs & und.V	P
Nen	2	HUG	wambns	Basic	1-erg 2-abs und[2].V.act[1]	1	hugger	NP-erg & V.act	A
Nen	2	HUG	wambns	Basic	1-erg 2-abs und[2].V.act[1]	2	huggee	NP-abs & und.V	P
Nen	3	LOOK AT	wakaes	Basic	1-erg 2-abs und[2].V.act[1]	1	looker	NP-erg & V.act	A
Nen	3	LOOK AT	wakaes	Basic	1-erg 2-abs und[2].V.act[1]	2	looked at entity	NP-abs & und.V	P
Nen	4	SEE	wakaes	Basic	1-erg 2-abs und[2].V.act[1]	1	seeer	NP-erg & V.act	A
Nen	4	SEE	wakaes	Basic	1-erg 2-abs und[2].V.act[1]	2	seen entity	NP-abs & und.V	P
Nen	4	SEE	winḡs	Basic	1-erg 2-abs und[2].V.act[1]	1	seeer	NP-erg & V.act	A
Nen	4	SEE	winḡs	Basic	1-erg 2-abs und[2].V.act[1]	2	seen entity	NP-abs & und.V	P
Nen	5	SMELL	wambaes	Basic	1-erg 2-abs und[2].V.act[1]	1	smeller	NP-erg & V.act	A
Nen	5	SMELL	wambaes	Basic	1-erg 2-abs und[2].V.act[1]	2	smelled entity	NP-abs & und.V	P
Nen	6	FEAR	brbräm räms	Basic	1-abs und[1].V	1	fearer	NP-abs & und.V	S
Nen	7	FRIGHTEN	brbr wets	Basic	1-erg 2-abs und[2].V.act[1]	1	frightener	NP-erg & V.act	A
Nen	7	FRIGHTEN	brbr wets	Basic	1-erg 2-abs und[2].V.act[1]	2	frightenee	NP-abs & und.V	P
Nen	8	LIKE	mñteba wakaes	Basic	1-erg 2-abs und[2].V.act[1]	1	liker	NP-erg & V.act	A
Nen	8	LIKE	mñteba wakaes	Basic	1-erg 2-abs und[2].V.act[1]	2	liked entity	NP-abs & und.V	P
Nen	9	KNOW	mete	Basic	1-abs 2-abs und[1].V	1	knower	NP-abs & und.V	S
Nen	9	KNOW	mete	Basic	1-abs 2-abs und[1].V	2	known thing/person	NP-abs	X
Nen	10	THINK	embärs	Basic	1-abs V.act[1]	1	thinker	NP-abs & V.act	X
Nen	10	THINK	wabaes	Basic	1-erg 2-abs und[2].V.act[1]	1	thinker	NP-erg & V.act	A
Nen	10	THINK	wabaes	Basic	1-erg 2-abs und[2].V.act[1]	2	thought content	NP-abs & und.V	P
Nen	11	SEARCH FOR	ronzas	Basic	1-erg 2-abs und[2].V.act[1]	1	searcher	NP-erg & V.act	A
