Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Addressee li + hon insertion	Addressee vbiee insertion	Allative insertion	Ambitransitive	Applicative li insertion	Causative insertion	Distributive locative insertion (specific)	Distributive locative insertion (unspecific)	Elative insertion	External possessor alternation	Instrument insertion	Locative change of state	Locative omission	Object omission	Projected adherence insertion
Emai	30	CUT	hian	71, 72, 196, 197, 198, 199, 200	1 > V > 2	Never	Never	Regularly	Regularly	Regularly	Never	Regularly	Never	Never	Regularly	Regularly	Regularly	Never	Never	Never
Emai	30	CUT	bẹnnọ	73, 74, 201, 202, 260	1 > V > 2	Never	Never	Never	Never	Regularly	Never	Regularly	Regularly	Never	Never	Regularly	Never	Never	Never	Never
Emai	31	TAKE	miẹẹ (1)	75, 255	1>V>2>3>vbi+4	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never
Emai	32	TEAR	nya a	76, 77, 203	1 > V > 2	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Emai	33	PEEL	bolo	78, 79, 204, 205	1 > V > 2	Never	Never	Never	Never	Regularly	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never
Emai	33	PEEL	fọlọ	80, 81, 206	1 > V > 2	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Emai	34	HIDE	V hee	82, 83, 84, 85	1 > V > 2	Never	Never	Never	Regularly	Marginally	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	35	SHOW	rẹ vbiẹẹ	86	1>V>2>3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	36	GIVE	V li	87, 88	1>V>2>lí+3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	37	SEND	ye	90, 91	1 > V > 2	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	37	SEND	ye úhùnmì	89, 92, 93	1 > V > 2	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	38	CARRY	nwu	94, 95, 207	1 > V > 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Never
Emai	39	THROW	fi (2)	96, 97, 208, 209, 261	1 > V > 2	Never	Never	Regularly	Never	Never	Never	Regularly	Regularly	Never	Marginally	Never	Never	Never	Never	Regularly
Emai	40	TIE	din	98, 99, 100, 101	1 > V > 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never
Emai	40	TIE	gba	102, 210, 211	1 > V > 2	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never
Emai	40	TIE	gba íì	103	1 > V > 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	41	PUT	V ọ	104, 262	1>V>2>vbi+3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never
Emai	42	POUR	ọọn ọ́	105, 106	1>V>2>vbi+3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Never
Emai	43	COVER	voo	107, 108	1 > V > 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Emai	44	FILL	vọọn	109, 110	1 > V > 2	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	44	FILL	khaan	111	1 > V > 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	45	LOAD	maa	112, 113, 114	1 > V > 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Regularly	Never	Never	Never
Emai	45	LOAD	hee	115, 271	1 > V > 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	46	BLINK	gbe ẹ̀ò	116	1>V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Emai	47	COUGH	kẹnhẹn	212, 213, 263	1>V	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Never
Emai	48	CLIMB	hẹẹn	117, 118, 214	1 > V > 2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Emai	49	RUN	la	119, 215, 216	1>V	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never
Emai	50	SIT	dia (1)	120, 121	1>V>vbi+2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never
Emai	51	SIT DOWN																		
Emai	52	JUMP	vbọọ	122, 217, 218	1>V	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Never
Emai	52	JUMP	san	123, 219, 220	1>V	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Never
