Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Accusative Subject Ambitransitive vs. Transitive	Ambitransitive	Ambitransitive alt. with -ja	Ambitransitive alternation with umlaut and -na	Ambitransitive with conjugation variation	Caused-motion from intransitive	Dat-Acc Ambiditransitive	Dative alternation (Dat-Acc)	Dative alternation (PP)	Dative passive	Dative Subject Ambitransitive vs. Transitive	Direct Object alternation	Genitive Passive	Genitive Subject Ambitransitive vs. Transitive	Impersonal mediopassive	Impersonal passive	It–he alternation	Locative Alternation with T.acc +með I.dat	Mediopassive (middle)	Middle	Nom-Dat vs. Dat-Nom	Nominative Passive	Obj.dat vs. Obj.acc	PP vs. Genitive Object	Prepositional Object alternation	Reciprocal Alternation	Reflexive (mediopassive form)	Transitive from intransitive
Icelandic	34	HIDE	fela	49, 180, 236	1-nom V.agr[1] 2-acc (fyrir+3-dat)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Icelandic	35	SHOW	sýna	50, 181, 182, 258	1-nom V.agr[1] 2-dat 3-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Icelandic	36	GIVE	gefa	51, 183, 184, 238, 244	1-nom V.agr[1] 2-dat 3-acc	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Icelandic	36	GIVE	rétta	52, 53, 185, 186, 249	1-nom V.agr[1] 2-dat 3-acc	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Icelandic	37	SEND	senda	54, 55, 126, 187, 188, 252	1-nom V.agr[1] 2-acc til+3-gen	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Icelandic	38	CARRY	bera (1)	56, 189, 225, 278	1-nom V.agr[1] 2-acc á+3-acc	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Icelandic	39	THROW	kasta	57, 127, 190, 291, 329	1-nom V.agr[1] 2-dat LOC3	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	40	TIE	binda	58, 128, 191, 226	1-nom V.agr[1] 2-acc (með+3-dat) (við+4-acc)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never
Icelandic	41	PUT	setja	59, 129, 192, 253	1-nom V.agr[1] 2-acc LOC3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never
Icelandic	42	POUR	hella	60, 61, 130, 193, 268	1-nom V.agr[1] 2-dat LOC3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	43	COVER	þekja	1, 2, 116, 139, 262	1-nom V.agr[1] 2-dat á+3-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Regularly	Never	Regularly	Never	Regularly	Never	Never	Never	Never	Never	Never
Icelandic	43	COVER	breiða	3, 140, 229	1-nom V.agr[1] 2-acc yfir+3-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Icelandic	44	FILL	fylla	62, 131, 194, 237, 281	1-nom V.agr[1] 2-acc (af+3-dat)	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Icelandic	45	LOAD	hlaða	63, 64, 132, 195, 239, 297	1-nom V.agr[1] 2-dat á+3-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Regularly	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Icelandic	46	BLINK	blikka (augunum)	65, 66, 196, 197, 227, 367	1-nom V.agr[1]	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Regularly
Icelandic	47	COUGH	hósta	67, 68, 133, 198, 270	1-nom V.agr[1] (2-dat)	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	48	CLIMB	klifra	69, 199	1-nom V.agr[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	49	RUN	hlaupa	70, 200, 327, 328	1-nom V.agr[1]	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	50	SIT	sitja	71, 201	1-nom V.agr[1] (LOC2)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	51	SIT DOWN	setjast	72, 326	1-nom V.agr[1] (LOC2)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	52	JUMP	hoppa	73, 202	1-nom V.agr[1]	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	53	SING	syngja	74, 75, 203, 204, 259, 330, 356	1-nom V.agr[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Marginally	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Icelandic	54	GO	fara	76, 205	1-nom V.agr[1] (á+2-acc)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	55	LEAVE	yfirgefa	77, 206, 261	1-nom V.agr[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Icelandic	56	LIVE	búa (1)	78, 207, 286	1-nom V.agr[1] í+2-dat	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	57	LAUGH	hlæja	79, 208, 331	1-nom V.agr[1]	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	58	SCREAM	öskra	82, 210, 324, 332	1-nom V.agr[1]	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never
Icelandic	59	FEEL PAIN	vera illt	81	1-dat V (í+2-dat)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	60	FEEL COLD	vera kalt	85	1-dat V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	61	DIE	deyja	86, 211	1-nom V.agr[1]	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	62	PLAY	leika sér	87, 212, 292, 323	1-nom V.agr[1]	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never
Icelandic	63	BE SAD	vera sorgmæddur	88	1-nom V.agr[1]	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	64	BE HUNGRY	vera svangur	89	1-nom V.agr[1]	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	64	BE HUNGRY	hungra	90	1-acc V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	65	ROLL	rúlla	91, 92, 134, 213, 333	1-nom V.agr[1]	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	66	SINK	sökkva (1)	93, 94	1-nom V.agr[1]	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	67	BURN	brenna (1)	96, 97, 215, 322	1-nom V.agr[1]	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never
Icelandic	68	BE DRY	vera þurr	98	1-nom V.agr[1]	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	69	RAIN	rigna	99, 100, 293	V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	70	BE A HUNTER	vera veiðmaður	334	1-nom V.agr[1]	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	71	GRIND	mala	335, 353, 354, 364	1-nom V.agr[1] 2-acc (með+3-dat)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Icelandic	72	WIPE	þurrka	341, 342, 357, 361, 362	1-nom V.agr[1] 2-acc (af+3-dat)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Never
Icelandic	73	DIG	grafa	347, 348, 360	1-nom V.agr[1] eftir+2-dat	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	74	PUSH	ýta	345, 346, 359	1-nom V.agr[1] 2-dat (í+3-acc)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	75	BRING	færa	343, 344, 358, 365	1-nom V.agr[1] 2-dat 3-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Marginally	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Icelandic	76	STEAL	stela	101, 217, 273, 321	1-nom V.agr[1] 2-dat (frá+3-dat)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	77	TEACH	kenna	338, 339, 340	1-nom V.agr[1] 2-dat 3-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Icelandic	78	HEAR	heyra	102, 136, 218, 276	1-nom V.agr[1] í+2-dat	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never
Icelandic	79	COOK	elda	336, 337, 355	1-nom V.agr[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never
Icelandic	80	BOIL																															
