Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Abstract subject	Accidental Body-part	Accidental Reflexive	Assisting Body-part	Benefactive	Causative-Inchoative	Cognate Object	Conative	Dative	Direct Quotation	Directed Nonverbal Expression	Experiencer Passive with of-Stimulus	Gerundive complement	Get-a-VP(nominal)	Have-a-VP(nominal)	Inchoative-Causative	Instrumental Object	Instrumental Subject	Into-Resultative	Location-capacity subject	Locative	Locative promotion	Locus of personal contact	Malefactive	Middle	Path subject	Possessor ascension	Quasi-agentive Instrumental Subject	Quasi-benefactive-accompaniment with	Reciprocal	Resultative complement	Source-of-part	Stimulus prepositional object	Stimulus Subject	That-complement	To-complement	Topic-about	Understood Omitted Object	Understood Reflexive Object	Way-construction	Wh-complement	With/against alternation
English	9	KNOW	know	76, 77, 78, 79, 80	1-nom > V.subj[1] > 2-acc	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Regularly	Never	Never	Never	Regularly	Never
English	10	THINK	think	81, 82, 83, 84, 85, 431, 432, 433, 434, 435, 436, 437, 445	1-nom > V.subj[1] > about+2	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Marginally	Never
English	11	SEARCH FOR	search	102, 103, 104	1-nom > V.subj[1] (> 2-acc) > for+3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
English	12	WASH	wash	113, 114, 115, 116, 119, 385, 386, 396, 397, 398	1-nom > V.subj[1] > 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Marginally	Never	Never
English	13	DRESS	dress	117, 118, 418, 419	1-nom > V.subj[1] > 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never
English	14	SHAVE (a body part/person)	shave	120, 121, 122, 450, 451, 452	1-nom > V.subj[1] > 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never
English	15	HELP	help	111, 112, 387, 388, 389, 390, 391, 399	1-nom > V.subj[1] > 2-acc	Marginally	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never
English	16	FOLLOW	follow	109, 110, 392, 400, 401, 402	1-nom > V.subj[1] > 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
English	17	MEET	meet	107, 108	1-nom > V.subj[1] > 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
English	18	TALK	talk	25, 26, 27, 393, 394, 403, 404, 405, 406, 409, 410, 411	1-nom > V.subj[1] (> to+2) (> about+3)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
