Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Anticausative with /rasar/	Causative	DO passive	IO passive	Lexical argument decreasing alternation	Lexical argument increasing alternation	Potential (ability)	potential (property)
Hokkaido Japanese	33	PEEL	muk-u	156, 157, 158, 159, 160, 161	1-nom 2-acc V	Regularly	Regularly	Regularly	Never	Regularly	Never	Regularly	Never
Hokkaido Japanese	34	HIDE	kakus-u	162, 163, 164, 165, 166	1-nom 2-acc V	Never	Regularly	Regularly	Never	Never	Never	Regularly	Regularly
Hokkaido Japanese	35	SHOW	mise-ru	167, 168, 169, 170, 171, 172	1-nom 2-dat 3-acc V	Regularly	Regularly	Regularly	Regularly	Regularly	Never	Regularly	Regularly
Hokkaido Japanese	36	GIVE	kure-ru	327	1-nom 2-dat 3-acc V	Never	Never	Never	Never	Never	Never	Never	Never
Hokkaido Japanese	36	GIVE	yar-u	173, 174, 175	1-nom 2-dat 3-acc V	Never	Never	Never	Never	Never	Never	Regularly	Regularly
Hokkaido Japanese	37	SEND	okur-u	176, 177, 178, 179, 180, 181, 182, 328, 330, 332, 334, 336	1-nom 2-dat 3-acc V	Regularly	Regularly	Regularly	Regularly	Never	Never	Regularly	Regularly
Hokkaido Japanese	38	CARRY	hakob-u	183, 184, 185, 186, 187, 188, 189, 190, 191, 192	1-nom 2-dat 3-acc V	Regularly	Regularly	Regularly	Never	Never	Never	Regularly	Never
Hokkaido Japanese	39	THROW	nage-ru	193, 194, 195, 196, 197	1-nom 2-dat 3-acc V	Never	Regularly	Regularly	Never	Never	Never	Regularly	Regularly
Hokkaido Japanese	40	TIE	tunag-u	198, 199, 200, 201, 202, 203, 204	1-nom 2-dat 3-acc V	Regularly	Regularly	Regularly	Never	Regularly	Never	Regularly	Regularly
Hokkaido Japanese	41	PUT	ok-u	209, 210, 211, 212, 213, 214	1-nom 2-dat 3-acc V	Regularly	Regularly	Regularly	Never	Never	Never	Regularly	Regularly
Hokkaido Japanese	42	POUR	tug-u	215, 216, 217, 218, 219	1-nom 2-dat 3-acc V	Regularly	Regularly	Regularly	Never	Never	Never	Regularly	Never
Hokkaido Japanese	43	COVER	kake-ru	220, 221, 222, 223, 224, 225, 226	1-nom 2-dat 3-acc V	Never	Regularly	Regularly	Regularly	Regularly	Never	Regularly	Regularly
Hokkaido Japanese	44	FILL	mitas-u (1)	227, 228, 229, 230, 231, 232	1-nom 2-dat 3-acc V	Regularly	Regularly	Regularly	Never	Regularly	Never	Regularly	Never
Hokkaido Japanese	44	FILL	mitas-u (2)	233, 234, 235, 236, 237, 238	1-nom 2-acc (3-instr) V	Regularly	Regularly	Regularly	Never	Regularly	Never	Regularly	Never
Hokkaido Japanese	45	LOAD	tum-u	239, 240, 241, 242, 243, 244	1-nom 2-dat 3-acc V	Regularly	Regularly	Regularly	Never	Never	Never	Regularly	Regularly
