Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Addition of direct object	Addition of direct object via SVC	Addition of instrument/comitative	Addition of oblique	Addition of oblique + direct object via SVC	Addition of oblique via SVC	Clausal complement instead of direct object	Clausal complement instead of oblique argument	Coded causative	Coded causative + addition of oblique	Deagentive	Deletion of dative object	Deletion of direct object	Deletion of indirect object	Deletion of oblique	Demotion of direct object to oblique	Demotion of indirect object to oblique (via SVC)	Locative shift: goal as direct object (instead of theme) with the theme coded as instrumental/comitative	Locative shift: theme as direct object (instead of goal)	Promotion of direct object to oblique	Promotion of oblique to indirect object	Theme as instrument instead of oblique	Uncoded causative
Nǀǀng	54	GO	ǁʼaa	123, 124, 125, 126, 127	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Nǀǀng	55	LEAVE	xuu	128	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Nǀǀng	56	LIVE	nǁaa (2)	129, 130, 131, 132, 133, 134, 135	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Regularly	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never
Nǀǀng	56	LIVE	ǀʼhoa	136, 137, 138	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never
Nǀǀng	57	LAUGH	kxʼainʼa	16, 17, 139	1 V	Regularly	Never	Never	Never	Never	Marginally	Never	Never	Marginally	Marginally	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Nǀǀng	58	SCREAM	no verbal counterpart		N/A	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Nǀǀng	59	FEEL PAIN	ʘʼuiʼi	140, 141, 142, 149, 188	1 V	Marginally	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Nǀǀng	60	FEEL COLD	ǀʼhuu	147, 148, 149	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Nǀǀng	60	FEEL COLD	khinn ǀʼhuu	146	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Nǀǀng	61	DIE	ǀʼaa	12, 143, 144, 145, 187	1 V	Never	Never	Never	Never	Never	No data	No data	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Nǀǀng	62	PLAY	(ka) ǃqora	13, 14, 150	1 V	Regularly	Never	Never	Never	Never	Never	Never	Never	Marginally	Marginally	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Nǀǀng	63	BE SAD	idiomatic expressions	151, 152	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Nǀǀng	64	BE HUNGRY	khinn ǁqann	153	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Nǀǀng	65	ROLL	no verbal counterpart		N/A	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Nǀǀng	66	SINK	no verbal counterpart		N/A	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Nǀǀng	67	BURN																										
Nǀǀng	68	BE DRY	ǁoo(-a)	4, 181, 182, 183, 184, 185	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally
Nǀǀng	69	RAIN	ǂhau	18, 19	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Nǀǀng	70	BE A HUNTER	ng X	179, 180	1 V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Nǀǀng	71	GRIND	ǂxaike	245	1 V 2	Never	Never	Regularly	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Nǀǀng	72	WIPE	no verbal counterpart		N/A	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Nǀǀng	73	DIG	ǁʼau	177	1 V 2	Never	Never	Never	Never	Never	Regularly	Never	Never	Marginally	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Nǀǀng	74	PUSH	ǂʼhaqa	242, 243, 244, 269, 270	1 V 2	Never	Never	Never	Never	Never	Regularly	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never
Nǀǀng	75	BRING	tsaa	21, 60	1 V 2-dat 3	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never	Never
Nǀǀng	76	STEAL	gaake	236, 273, 274	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Nǀǀng	77	TEACH																										
Nǀǀng	78	HEAR	tyuu	229, 230, 231, 232, 233, 234, 235	1 V 2	Never	Never	Never	Never	Never	Never	Regularly	Never	Marginally	Never	Never	Never	Marginally	Never	Never	Regularly	Never	Never	Never	Never	Never	Never	Never
Nǀǀng	79	COOK	ǃxama	226, 227, 228	1 V 2	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Regularly	Never	Regularly	Never	Never	No data	Never	Never	Never	Never	Never	Never	Never
Nǀǀng	80	BOIL	ǀuun	221, 222, 223, 224, 225	1 V	Never	No data	Never	Never	Never	Marginally	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly
