Language_name	Example_number	Example_type	Primary_text	Original_orthography	Analyzed_text	Gloss	Translation
Mitsukaido Japanese	1		Amakko pan kutta.		amakko pan kut-ta	girl.NOM bread.ACC eat-PST	The girl ate bread.
Mitsukaido Japanese	2		Ore arenge pan kaseda.		ore are=nge pan kase-da	1sg.NOM 3sg=DAT bread.ACC eat.CAUS-PST	I made her/him eat bread.
Mitsukaido Japanese	3		Areni pan kuwaretjatta.		are=ni pan kuw-are-tjat-ta	3sg=LOC bread.NOM eat-PASS-PERF-PST	The bread had been eaten by her/him.
Mitsukaido Japanese	4		Orengani sore kuene.		ore=ngani sore ku-e-ne	1sg=EXP that.ACC eat-POT-NEG.NPST	I cannot eat that.
Mitsukaido Japanese	5		Ka:tjan agambogodo daededa.		ka:tjan agambo=godo dae-de-da	mother.NOM baby=ACC hold-GER.be-PST	Mother hugged the baby.
Mitsukaido Japanese	6		Ore ka:tjannge agambogodo dagaseda.		ore ka:tjan=nge agambo=godo dag-ase-da	1sg.NOM mother=DAT baby=ACC hold-CAUS-PST	I made my wife hug the baby.
Mitsukaido Japanese	7		Agambo ka:tjanni dagasatteda.		agambo ka:tjan=ni dagasat-te-da	baby.NOM mother=LOC be.held-GER.be-PST	The baby was hugged in her/his mother's arm.
Mitsukaido Japanese	8		Agambo ka:tjannge dakko sarededa.		agambo ka:tjan=nge dakko_s-are-de-da	baby.NOM mother=DAT hold-PASS-GER.be-PST	The baby was hugged by her/his mother.
Mitsukaido Japanese	9		Imadara ka:tjanngani agambogodo dageru.		ima=dara ka:tjan=ngani agambo=godo dag-e-ru	now=COND mother=EXP baby=ACC hold-POT-NPST	Now the mother can hug the baby.
Mitsukaido Japanese	10		Hono odogo jarokkogodo mida.		hono odogo jarokko=godo mi-da	that man.NOM boy=ACC look.at-PST	That man looked at the boy.
Mitsukaido Japanese	11		Ore hono odogonge jarokkogodo miraseda.		ore hono odogo=nge jarokko=godo mi-rase-da	1sg.NOM that man=DAT boy=ACC look.at-CAUS-PST	I made that man look at the boy.
Mitsukaido Japanese	12		Tukubasan me:ru.		Tukubasan me:-ru	Mt_Tsukuba.NOM see.POT-NPST	Mt. Tsukuba can be seen.
Mitsukaido Japanese	13		Jarokko sagini mirareda.		jarokko sagini mi-rare-da	boy.NOM early look.at-PASS-PST	The boy was seen before.
Mitsukaido Japanese	14		Orenganja jarokkogodo me:da.		ore=nganja jarokko=godo me:-da	1sg=EXP.TOP boy=ACC see.POT-PST	I could see the boy.
Mitsukaido Japanese	15		Negome nezuminga nioe ka{e/n}-da.		nego-me nezumi=nga nioe ka{e/n}-da	cat-DIM.NOM mouse=POS smell.ACC smell-PST	The cat caught the mouse's scent.
Mitsukaido Japanese	16		Ore negonge nezuminga nioe kangaseda.		ore nego=nge nezumi=nga nioe kang-ase-da	1sg.NOM cat=DAT mouse=POS smell.ACC smell-CAUS-PST	I made the cat smell the mouse.
Mitsukaido Japanese	17		Nezumi negoni nioe kangarettsitta.		nezumi nego=ni nioe kang-are-ttsit-ta	mouse.NOM cat=LOC smell.ACC smell-PASS-PERF-PST	The mouse was smelled by the cat.
Mitsukaido Japanese	18		Kono negonganiwa nioe kangeru.		kono nego=ngani=wa nioe kang-e-ru	this cat=EXP=TOP smell.ACC smell-POT-NPST	This cat has a good nose.
Mitsukaido Japanese	19		Arewa aregodo okkanangattekkara.		are=wa are=godo okkanangat-te-k=kara	3sg=TOP 3sg=ACC fear-GER.be-NPST=because	She/he fears her/him.
Mitsukaido Japanese	20		Ore arenge ano jarokkogodo okkanangaraseda.		ore are=nge ano jarokko=godo okkanangar-ase-da	1sg.NOM 3sg=DAT that boy=ACC fear-CAUS-PST	I made her/him fear that boy.
Mitsukaido Japanese	21		Orenganja aregodo okkanegane:gara.		ore=nganja are=godo okkanega-ne:=gara	1sg=EXP.TOP 3sg=ACC afraid-NEG.NPST=because	I fear her/him.
Mitsukaido Japanese	22		Are minnani okkanangararederu.		are minna=ni okkanangar-are-de-ru	3sg.NOM all=LOC fear-PASS-GER.be-NPST	She/he is feared by all.
Mitsukaido Japanese	23		Ore hosingagi skida.		ore hosingagi ski-da	1sg.NOM dried_persimmon.ACC like-COP.NPST	I like dried persimmon.
Mitsukaido Japanese	24		Ore ano hjtogodo kini etta.		ore ano hjto=godo kini_et-ta	1sg.NOM that man=ACC like-PST	I like that man.
Mitsukaido Japanese	25		Ore ano jarogodo sitteru.		ore ano jaro=godo sit-te-ru	1sg.NOM that man=ACC know-GER.be-NPST	I know that man.
Mitsukaido Japanese	26		Arenge sore sirasenakutja.		are=nge sore sir-ase-naku-tja	3sg=DAT that.ACC know-CAUS-NEG.ADV-GER.TOP	(I have to) make her/him know about that.
Mitsukaido Japanese	27		Ano jaro minnani sirarederu.		ano jaro minna=ni sir-are-de-ru	that man.NOM all=LOC know-PASS-GER.be-NPST	That man is known to all.
Mitsukaido Japanese	28		Ore sengarenga godo kangnge:da.		ore sengare=nga godo kangnge:-da	1sg.NOM oldest_son=POS thing.ACC think-PST	I thought about my son.
Mitsukaido Japanese	29		Ore arenge sengarenga godo kangngeraseda.		ore are=nge sengare=nga godo kangnge-rase-da	1sg.NOM 3sg=DAT oldest_son=POS thing.ACC think-CAUS-PST	I made her/him think about her/his son.
Mitsukaido Japanese	30		Are bo:ru mekkededa.		are bo:ru mekke-de-da	3sg.NOM ball.ACC look.for-GER.be-PST	She/he searched for a ball.
Mitsukaido Japanese	31		Ore arenge bo:ru mekkeraseda.		ore are=nge bo:ru mekke-rase-da	1sg.NOM 3sg=DAT ball.ACC look.for-CAUS-PST	I made her/him search for a ball.
Mitsukaido Japanese	32		Bo:ru mekkatta.		bo:ru mekkat-ta	ball.NOM be.found-PST	The ball was found.
Mitsukaido Japanese	33		Ano amakkonganiwa aregodo mekkerareru.		ano amakko=ngani=wa are=godo mekke-rare-ru	that girl=EXP=TOP 3sg=ACC look_for-POT-NPST	That girl can search for her/him.
Mitsukaido Japanese	34		Amakko hku aratta.		amakko hku arat-ta	girl.NOM clothes.ACC wash-PST	The girl washed the clothes.
Mitsukaido Japanese	35		Ore amakkonge hku ara:seda.		ore amakko=nge hku ara:se-da	1sg.NOM girl=DAT clothes.ACC wash.CAUS-PST	I made the girl wash the clothes.
Mitsukaido Japanese	36		Amakkoni hku ara:retjatta.		amakko=ni hku ara:re-tjat-ta	girl=LOC clothes.NOM wash.PASS-PERF-PST	The clothes were washed by the girl.
Mitsukaido Japanese	37		Ano amakkonganja hitonde hku araeru.		ano amakko=nganja hitonde hku ara-e-ru	that girl=EXP.TOP alone clothes.ACC wash-POT-NPST	That girl can wash the clothes by herself.
Mitsukaido Japanese	38		Ore amakkonge kimono kiseda.		ore amakko=nge kimono kise-da	1sg.NOM girl=DAT kimono.ACC dress-PST	I dressed the girl in a kimono.
