Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Benefactive	Causative	Locative/absolutive alternation	Passive participle	Reciprocal	Reciprocal ambitransitivity	Reflexive	S/A detransitivisation	S/P ambitransitivity	Theme alternation
Chintang	38	CARRY	khutt	52, 61, 166	1-erg 2-abs 3-abs V.agt[1].obj[3]	Regularly	Regularly	Never	Marginally	Marginally	Never	Marginally	Regularly	Never	Never
Chintang	38	CARRY	khur	62, 174	1-erg 2-abs V.agt[1].obj[2]	Marginally	Regularly	Never	Marginally	Marginally	Never	Marginally	Regularly	Regularly	Never
Chintang	39	THROW	os	63, 148, 154	1-erg 2-abs 3-loc V.agt[1].obj[2]	Regularly	Marginally	Regularly	Regularly	Marginally	Never	Regularly	Regularly	Never	Never
Chintang	39	THROW	or	64	1-erg 2-abs 3-erg V.agt[1].obj[2]	Regularly	Regularly	Never	Regularly	Marginally	Never	Regularly	Regularly	Never	Never
Chintang	40	TIE	chud	65, 66	1-erg 2-abs 3-erg 4-loc V.agt[1].obj[2]	Regularly	Marginally	Never	Marginally	Marginally	Never	Marginally	Regularly	Never	Never
Chintang	41	PUT	yuŋs	67, 73, 159	1-erg 2-abs 3-loc V.agt[1].obj[2]	Regularly	Regularly	Never	Regularly	Marginally	Never	Marginally	Regularly	Never	Never
Chintang	42	POUR	bhare numd	68	1-erg 2-abs 3-erg V.agt[1].obj[2]	Marginally	Marginally	Never	Marginally	Never	Never	Never	Regularly	Never	Marginally
Chintang	43	COVER	bhukt	69, 70, 150, 160	1-erg 2-abs 3-erg V.agt[1].obj[2]	Marginally	Regularly	Never	Regularly	Regularly	Never	Regularly	Regularly	Never	Regularly
Chintang	44	FILL	bhare numd	68	1-erg 2-abs 3-erg V.agt[1].obj[2]	Marginally	Marginally	Never	Marginally	Never	Never	Never	Regularly	Never	Marginally
Chintang	44	FILL	tipt	71, 72	1-erg 2-abs V.agt[1].obj[2]	Marginally	Marginally	Never	Never	Never	Never	Never	Regularly	Regularly	Never
Chintang	45	LOAD	yuŋs	67, 73, 159	1-erg 2-abs 3-loc V.agt[1].obj[2]	Regularly	Regularly	Never	Regularly	Marginally	Never	Marginally	Regularly	Never	Never
Chintang	46	BLINK	sipt (1)	74	1-erg 2-abs V.agt[1].obj[2]	Marginally	Marginally	Never	Marginally	Never	Never	Marginally	Regularly	Regularly	Never
