Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Causative	Deagentive	Direct object shift	Extraversive	Fientive	Incorporative	Indirect participation	Introversive	Passive	Reciprocal	Reflexive	Usative
Yucatec Maya	21	TELL	tsikbat	23, 146, 147	sbj[1].V.obj[2] 2 ti'+3 1	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Regularly	Never
Yucatec Maya	22	SAY	a'l	24, 117, 118, 119, 166, 303	sbj[1].V.obj[2] 2 ti'+3 1	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Regularly	Never
Yucatec Maya	23	NAME	k'aaba'	116, 331	sbj[1].V 1	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never	Never	Regularly
Yucatec Maya	24	BUILD	beet	25, 99, 277, 278	sbj[1].V.obj[2] 2 1 (yéetel+3)	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Marginally	Never
Yucatec Maya	25	BREAK	pa'	26, 153	sbj[1].V.obj[2] 2 1 (yéetel+3)	Never	Never	Never	Never	Never	Regularly	Never	Never	Regularly	Never	Never	Never
Yucatec Maya	25	BREAK	kach	102, 148, 294, 344	sbj[1].V.obj[2] 2 1	Never	Regularly	Never	Never	Never	Regularly	Marginally	Marginally	Regularly	Never	Never	Never
Yucatec Maya	26	KILL	kíins	27, 150, 167, 168, 221	sbj[1].V.obj[2] 2 1 (yéetel+3)	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Regularly	Regularly	Never
Yucatec Maya	27	BEAT	p'uch	28, 157, 321, 322	sbj[1].V.obj[2] 2 1 (yéetel+3)	Never	Never	Never	Never	Never	Regularly	Never	Marginally	Regularly	Regularly	Never	Never
Yucatec Maya	28	HIT	hats'	158, 279, 350	sbj[1].V.obj[2] 2 1 (yéetel+3)	Never	Never	Never	Never	Never	Regularly	Never	Marginally	Regularly	Regularly	Regularly	Never
Yucatec Maya	28	HIT	koh	29, 295	sbj[1].V.obj[2] 2 1 (yéetel+3)	Never	Regularly	Never	Never	Never	No data	Never	Marginally	Regularly	Regularly	No data	Never
Yucatec Maya	29	TOUCH	mach	317, 318, 334	sbj[1].V.obj[2] 2 1 (yéetel+3)	Never	Never	Never	Never	Never	Regularly	Never	Marginally	Regularly	Regularly	Marginally	Never
Yucatec Maya	30	CUT	xot	30, 315	sbj[1].V.obj[2] 2 1 (yéetel+3)	Never	Never	Never	Never	Never	Marginally	Never	Regularly	Regularly	Never	Regularly	Never
Yucatec Maya	31	TAKE	ch'a'	31, 113, 154, 328	sbj[1].V.obj[2] 2 ti'+3 1	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Regularly	Marginally	Never	Never
Yucatec Maya	32	TEAR	hat	32, 155, 280, 281	sbj[1].V.obj[2] 2 1	Never	Regularly	Regularly	Never	Never	Marginally	Regularly	Marginally	Regularly	Never	Marginally	Never
Yucatec Maya	33	PEEL	sóolt	33	sbj[1].V.obj[2] 2 1	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never
Yucatec Maya	33	PEEL	ts'íil	159, 160, 305, 354	sbj[1].V.obj[2] 2 1	Never	Never	Regularly	Never	Never	Regularly	Never	Marginally	Regularly	Never	Never	Never
