Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	General NP addition	General NP drop	Reciprocal alternation
Sri Lanka Malay	20	SHOUT AT	kaaluth	138	1 2-dat V	Marginally	Regularly	No data
Sri Lanka Malay	21	TELL	biilang	18, 57, 58	1 2-dat UTT3 V	Marginally	Regularly	No data
Sri Lanka Malay	22	SAY	biilang	18, 57, 58	1 2-dat UTT3 V	Marginally	Regularly	No data
Sri Lanka Malay	23	NAME	naama thaaro	139	1 2-dat 3+katha V	Regularly	Regularly	No data
Sri Lanka Malay	24	BUILD	ikkath (1)	140	1 2-acc 3-abl V	Marginally	Regularly	No data
Sri Lanka Malay	25	BREAK	picaking	17, 107, 108, 109	1 2-acc 3-abl V	Marginally	Regularly	No data
Sri Lanka Malay	26	KILL	buunung	15, 61	1 2-acc 3-abl V	Marginally	Regularly	No data
Sri Lanka Malay	26	KILL	mathiking	16	1 2-acc 3-abl V	Marginally	Regularly	No data
Sri Lanka Malay	27	BEAT	puukul	14, 160	1 2-acc 3-abl V	Marginally	Regularly	No data
Sri Lanka Malay	28	HIT	puukul	14, 160	1 2-acc 3-abl V	Marginally	Regularly	No data
Sri Lanka Malay	29	TOUCH	thìkkam	141	1 2-dat 3-abl V	Marginally	Regularly	No data
Sri Lanka Malay	30	CUT	poothong	13, 111, 112, 113	1 2-acc V	Marginally	Regularly	No data
Sri Lanka Malay	31	TAKE	ambel	38, 55	1 2-acc 3-abl V	Marginally	Never	No data
Sri Lanka Malay	32	TEAR	soovek(kang)	12, 116	1 2-acc 3-abl V	Marginally	Regularly	No data
Sri Lanka Malay	33	PEEL	kuupas	142	1 2-acc V	Marginally	Regularly	No data
Sri Lanka Malay	34	HIDE	sbuuniking	143	1 2-acc 3-abl V	Marginally	Regularly	No data
Sri Lanka Malay	35	SHOW	cunjiking	10, 65, 66	1 2-acc 3-dat V	Marginally	Regularly	No data
Sri Lanka Malay	36	GIVE	kaasi	9, 87, 88	1 2-acc 3-dat V	Marginally	Regularly	No data
Sri Lanka Malay	37	SEND	kiiring	8, 53, 89	1 2-acc 3-dat V	Marginally	Regularly	No data
