Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Applicative	Causative	Directional Object	Equipollent Applicative	Equipollent Causal	Equipollent Noncausal	Intransitivizer incorporation: ji'i	Locative	Middle	Object incorporation	Passive	Resultative	Undetermined object
Yaqui	46	BLINK	kupikte	14, 70, 254, 255, 286, 574, 575, 576, 577, 578	1-nom V	Regularly	Regularly	Regularly	Regularly	Never	Never	Never	Never	Regularly	Never	Marginally	Marginally	Never
Yaqui	47	COUGH	tase	125, 145, 355, 579, 580, 581, 582, 583, 584	1-nom V	Marginally	Regularly	No data	Never	Never	Never	Never	Marginally	Regularly	Never	Marginally	Marginally	Never
Yaqui	48	CLIMB	ja’amu	12, 69, 214, 215, 356, 585, 586, 587, 588, 589, 590	1-nom (2-loc) V	Regularly	Regularly	Marginally	Never	Never	Never	Never	Never	Regularly	Marginally	Regularly	Regularly	Never
Yaqui	49	RUN	buite	126, 157, 320, 358, 591, 592, 593, 594	1-nom V	Regularly	Regularly	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Marginally	Marginally	Never
Yaqui	50	SIT	yejte	51, 100, 127, 143, 357, 607, 608, 609, 610	1-nom 2-loc V	Regularly	Regularly	Never	Never	Regularly	Never	No data	Never	Regularly	Never	Never	Regularly	Never
Yaqui	51	SIT DOWN	yejte	51, 100, 127, 143, 357, 607, 608, 609, 610	1-nom 2-loc V	Regularly	Regularly	Never	Never	Regularly	Never	No data	Never	Regularly	Never	Never	Regularly	Never
Yaqui	52	JUMP	chepte	128, 129, 256, 257, 359	1-nom V	No data	Regularly	No data	Regularly	No data	Never	No data	Regularly	No data	No data	No data	No data	No data
Yaqui	53	SING	bwiika	23, 78, 162, 361, 595, 596, 597, 598	1-nom 2-acc V	Regularly	Regularly	Marginally	Never	Never	Never	Never	Never	Regularly	Never	Regularly	Regularly	Never
Yaqui	54	GO	siika	59, 108, 261, 262	1-nom (2-dir) V	Never	Regularly	Never	Never	Never	Never	Never	Never	No data	No data	Never	Never	Never
Yaqui	55	LEAVE	watakte	130, 263, 264, 265, 599, 600, 601, 602, 603, 604	1-nom (2-dir) V	Regularly	Regularly	Never	Regularly	Never	Never	Never	Marginally	Regularly	Never	Regularly	Regularly	Never
Yaqui	56	LIVE	jo’a	24, 79, 266, 360, 605, 606	1-nom 2-loc V	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Regularly	Regularly	No data
Yaqui	57	LAUGH	aache	16, 72, 267, 268, 269, 289, 611, 612, 613, 614	1-nom V	Marginally	Regularly	Regularly	Never	Never	Never	Never	Never	Regularly	Never	Never	Marginally	Never
Yaqui	58	SCREAM	chaae (2)	8, 66, 131, 208	1-nom V	No data	Regularly	Regularly	No data	No data	Never	Never	Never	Never	Never	Never	No data	Never
Yaqui	59	FEEL PAIN	wante	15, 71, 149, 271, 615	1-nom 2-loc V	Never	Regularly	Never	Never	Never	Never	Never	No data	Regularly	Regularly	No data	Never	Never
Yaqui	60	FEEL COLD	chubakte	42, 93, 146, 272, 273, 274, 616, 617	1-nom V	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Regularly	Never	Never
Yaqui	61	DIE	muuke	132, 275, 276, 618, 619	1-nom V	Regularly	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Never
Yaqui	62	PLAY	yeewe	133, 163, 258, 259, 260, 620, 621, 622, 623	1-nom V	Regularly	Regularly	Never	Regularly	Never	Never	Never	Regularly	Regularly	Never	Regularly	Marginally	Never
Yaqui	63	BE SAD	rojikte	134, 277, 278, 624, 625	1-nom V	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Regularly	No data	Never
Yaqui	64	BE HUNGRY	tebaure	13, 279, 626, 627	1-nom V	Never	Regularly	Never	Never	Never	Never	Never	Never	Regularly	Never	Regularly	Regularly	Never
Yaqui	65	ROLL	ro’akte	82, 291, 292, 628, 629, 630, 631	1-nom V	Regularly	Regularly	Never	No data	Regularly	Never	Never	No data	Regularly	Never	Regularly	Regularly	Never
Yaqui	66	SINK	go’okte	31, 39, 144, 280, 298, 632, 633, 634	1-nom V	Regularly	Regularly	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Regularly	Never	Never
Yaqui	67	BURN	beete	34, 86, 140, 302, 635, 636, 637, 638, 639	1-nom V	Regularly	Regularly	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Marginally	Marginally	Marginally
Yaqui	68	BE DRY	waake	135, 136, 281, 282, 283, 640, 641	1-nom V	Marginally	Regularly	Never	No data	Regularly	Never	Never	Never	Regularly	Never	Regularly	Marginally	Marginally
Yaqui	69	RAIN	yuke	25, 80, 172	(1-dir) V	Marginally	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
Yaqui	70	BE A HUNTER	amureo	137, 231	1-nom V	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never	Never
Yaqui	71	GRIND	tuuse	26	1-nom 2-acc V	No data	Regularly	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Yaqui	72	WIPE	tu’ute	45, 46, 96, 330	1-nom 2-acc V	No data	Regularly	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	Regularly
Yaqui	73	DIG	bweje	60, 109, 312, 313	1-nom 2-acc V	No data	No data	No data	Never	Never	Never	Regularly	No data	No data	No data	No data	No data	No data
Yaqui	74	PUSH	yu’a	27, 81	1-nom 2-acc 3-dir V	No data	Regularly	No data	No data	No data	No data	No data	No data		No data	No data	No data	No data
Yaqui	75	BRING	nu'upa	40, 91, 305	1-nom 2-dir 3-acc V	No data	Regularly	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Yaqui	76	STEAL	etbwa	4, 287, 288	1-nom 2-acc V	Regularly	No data	No data	No data	No data	No data	No data	Regularly	No data	No data	No data	No data	No data
Yaqui	77	TEACH	majta	138, 176	1-nom 2-acc 3 V	No data	Regularly	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	Regularly
Yaqui	78	HEAR	jikkaja	30, 85, 297	1-nom 2-acc V	No data	Regularly	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Yaqui	79	COOK	bwasa	84, 293, 294, 295, 296	1-nom 2-acc V	No data	Regularly	No data	No data	No data	Regularly	No data	No data	No data	No data	No data	Regularly	No data
Yaqui	80	BOIL	pojte	29	1-nom V	No data	Regularly	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
