Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Ambitransitive Alternation (A>S)	Anticausative Alternation	be- Alternation (I)	be- Alternation (II)	Benefactive Alternation	Cognate Object Insertion	er- Alternation	Impersonal Passive	Instrument Subject Alternation	Object Omission Alternation	Passive with sein	Passive with werden	Prepositional Alternation	ver- Alternation
German	1	EAT	essen	1, 3	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Regularly		Regularly	Never	Never
German	2	HUG	umarmen	4, 38	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never		Regularly	Never	Never
German	3	LOOK AT	anschauen	94	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never		Regularly	Never	Never
German	4	SEE	sehen	5	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally		Regularly	Never	Never
German	5	SMELL	riechen	6, 8	1-nom V.subj[1] 2-acc	Regularly	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never
German	6	FEAR	Angst haben	85	1-nom V.subj[1] vor+2-dat	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Regularly		Never	Never	Never
German	6	FEAR	fürchten	154	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never		Regularly	Never	Never
German	7	FRIGHTEN	erschrecken	10, 12	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never		Regularly	Never	Never
German	8	LIKE	mögen	96	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never		Regularly	Never	Never
German	8	LIKE	gefallen	95	1-dat V.subj[2] 2-nom	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never
German	9	KNOW	kennen	71	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never	Never
German	10	THINK	nachdenken	93, 155	1-nom V.subj[1]	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never	Never	Marginally	Never	Never
German	10	THINK	denken	92, 103	1-nom V.subj[1] an+2-acc	Never	Never	Never	Marginally	Never	Marginally	Never	Regularly	Never	Regularly		Never	Never	Never
German	11	SEARCH FOR	suchen	72, 73, 74	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never		Regularly	Never	Never
German	12	WASH	waschen	9, 11, 13, 97, 98	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Regularly	Never	Never	Never	Marginally	Regularly		Regularly	Never	Never
German	13	DRESS	anziehen	100, 101, 102, 168	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Regularly	Never	Never
German	14	SHAVE (a body part/person)	rasieren	115, 116, 156	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Marginally	Never	Never	Never	Marginally	Never		Marginally	Never	Never
German	15	HELP	helfen	86	1-nom V.subj[1] 2-dat	Never	Never	Never	Never	Never	Never	Never	Regularly	Never	Never		Never	Never	Never
German	16	FOLLOW	folgen	79, 80	1-nom V.subj[1] 2-dat	Never	Never	Never	Never	Never	Never	Never	Regularly	Marginally	Never		Never	Never	Never
German	17	MEET	treffen	120	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never		Never	Never	Never
German	18	TALK	sprechen	117	1-nom V.subj[1] mit+2-dat	Never	Never	Never	Regularly	Marginally	Never	Never	Regularly	Never	Marginally		Never	Never	Never
German	18	TALK	reden	87	1-nom V.subj[1] mit+2-dat	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Never	Regularly		Never	Never	Never
German	19	ASK FOR	bitten	77, 78, 169	1-nom V.subj[1] (2-acc) um+3-acc	Never	Never	Never	Never	Never	Never	Regularly	Marginally	Never	Never		Regularly	Never	Never
German	20	SHOUT AT	anschreien	121	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never		Regularly	Never	Never
German	21	TELL	erzählen	123, 157	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Regularly		Regularly	Never	Never
German	22	SAY	sagen	39, 144, 145, 158	1-nom V.subj[1] 2-acc (zu+3-dat)	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never		Regularly	Never	Never
German	23	NAME	nennen	37	1-nom V.subj[1] 2-acc 3-acc	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never		Regularly	Never	Never
German	24	BUILD	bauen	58, 59, 60, 61	1-nom V.subj[1] 2-acc	Never	Never	Never	Regularly	Regularly	Never	Never	Never	Never	Never		Regularly	Never	Never
German	25	BREAK	zerbrechen	14, 16	1-nom V.subj[1] 2-acc	Regularly	Never	Never	Never	Never	Never	Never	Never	Regularly	Never		Regularly	Never	Never
German	26	KILL	umbringen	40	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never		Regularly	Never	Never
German	26	KILL	töten	122	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Regularly	Never	Never	Never	Regularly	Marginally		Regularly	Never	Never
German	27	BEAT	schlagen	139	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never		Regularly	Never	Never
German	28	HIT	schlagen	139	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never		Regularly	Never	Never
German	29	TOUCH	berühren	41	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Regularly	Never		Regularly	Never	Never
German	29	TOUCH	anfassen	134, 159	1-nom V.subj[1] 2-acc	Never	Marginally	Never	Never	Never	Never	Never	Never	Never	Never		Regularly	Never	Never
German	30	CUT	schneiden	129	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Marginally	Never	Never	Never	Marginally	Never		Regularly	Never	Never
German	31	TAKE	nehmen	135	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never		Regularly	Never	Never
German	32	TEAR	reißen	136	1-nom V.subj[1] 2-acc aus+3-dat	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never		Marginally	Never	Never
German	33	PEEL	schälen	42	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Marginally	Never	Never	Never	Marginally	Never		Regularly	Never	Never
German	34	HIDE	verstecken	43	1-nom V.subj[1] 2-acc vor+3-dat	Never	Never	Never	Never	Marginally	Never	Never	Never	Never	Never		Regularly	Never	Never
German	35	SHOW	zeigen	55, 75, 76	1-nom V.subj[1] 2-dat 3-acc	Never	Never	Never	Never	Never	Never	Never	Never	Marginally	Never		Regularly	Never	Never
German	36	GIVE	geben	90, 91	1-nom V.subj[1] 2-dat 3-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Marginally		Marginally	Never	Never
German	37	SEND	schicken	17, 18, 148	1-nom V.subj[1] 2-dat 3-acc	Never	Never	Never	Never	Never	Never	Never	Never	Never	Never		Regularly	Regularly	Regularly
German	38	CARRY	tragen	126	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never		Regularly	Never	Never
German	39	THROW	werfen	128	1-nom V.subj[1] 2-acc LOC3	Never	Never	Never	Regularly	Never	Never	Never	Never	Never	Never		Regularly	Never	Never
German	40	TIE	anbinden	7, 118	1-nom V.subj[1] 2-acc	Never	Never	Never	Never	Regularly	Never	Never	Never	Never	Never		Regularly	Never	Never
German	41	PUT	stellen	88	1-nom V.subj[1] 2-acc LOC3	Never	Never	Never	Marginally	Regularly	Never	Never	Never	Never	Never		Regularly	Never	Never
