Language_name	Meaning_number	Meaning_label	Verb_form	Basic_or_derived_coding_frame	Coding_frame_schema	Index_number	Microrole_name	Coding_set_name	Argument_type
German	12	WASH	waschen	Derived	1-nom V'.subj[1] 3-dat 2-acc	3	wash beneficiary	NP-dat	
German	12	WASH	waschen	Derived	2-nom passV'.subj[2] (von+1-dat)	1	washer	von+NP-dat	
German	12	WASH	waschen	Derived	2-nom passV'.subj[2] (von+1-dat)	2	washed entity	NP-nom V.subj	
German	13	DRESS	anziehen	Basic	1-nom V.subj[1] 2-acc	1	dresser	NP-nom V.subj	A
German	13	DRESS	anziehen	Basic	1-nom V.subj[1] 2-acc	2	clothes	NP-acc	P
German	13	DRESS	anziehen	Derived	2-nom passV'.subj[2] (von+1-dat)	1	dresser	von+NP-dat	
German	13	DRESS	anziehen	Derived	2-nom passV'.subj[2] (von+1-dat)	2	clothes	NP-nom V.subj	
German	14	SHAVE (a body part/person)	rasieren	Basic	1-nom V.subj[1] 2-acc	1	shaver (of body part)	NP-nom V.subj	A
German	14	SHAVE (a body part/person)	rasieren	Basic	1-nom V.subj[1] 2-acc	2	shaved person	NP-acc	P
German	15	HELP	helfen	Basic	1-nom V.subj[1] 2-dat	1	helper	NP-nom V.subj	S
German	15	HELP	helfen	Basic	1-nom V.subj[1] 2-dat	2	helpee	NP-dat	X
German	15	HELP	helfen	Derived	x-nom passV'.subj[x] 2-dat (von+1-dat)	1	helper	von+NP-dat	
German	15	HELP	helfen	Derived	x-nom passV'.subj[x] 2-dat (von+1-dat)	2	helpee	NP-dat	
German	16	FOLLOW	folgen	Basic	1-nom V.subj[1] 2-dat	1	follower	NP-nom V.subj	S
German	16	FOLLOW	folgen	Basic	1-nom V.subj[1] 2-dat	2	followee	NP-dat	X
German	16	FOLLOW	folgen	Derived	x-nom passV'.subj[x] 2-dat (von+1-dat)	1	follower	von+NP-dat	
German	16	FOLLOW	folgen	Derived	x-nom passV'.subj[x] 2-dat (von+1-dat)	2	followee	NP-dat	
German	17	MEET	treffen	Basic	1-nom V.subj[1] 2-acc	1	meeter	NP-nom V.subj	A
German	17	MEET	treffen	Basic	1-nom V.subj[1] 2-acc	2	met person	NP-acc	P
German	18	TALK	reden	Basic	1-nom V.subj[1] mit+2-dat	1	talker	NP-nom V.subj	S
German	18	TALK	reden	Basic	1-nom V.subj[1] mit+2-dat	2	talked to person	mit+NP-dat	X
German	18	TALK	reden	Derived	1-nom V'.subj[1]	1	talker	NP-nom V.subj	
German	18	TALK	reden	Derived	x-nom passV'.subj[x] mit+2-dat	2	talked to person	mit+NP-dat	
German	18	TALK	sprechen	Basic	1-nom V.subj[1] mit+2-dat	1	talker	NP-nom V.subj	S
German	18	TALK	sprechen	Basic	1-nom V.subj[1] mit+2-dat	2	talked to person	mit+NP-dat	X
German	18	TALK	sprechen	Derived	x-nom passV'.subj[x] mit+2-dat	2	talked to person	mit+NP-dat	
German	19	ASK FOR	bitten	Basic	1-nom V.subj[1] (2-acc) um+3-acc	1	asker	NP-nom V.subj	A
German	19	ASK FOR	bitten	Basic	1-nom V.subj[1] (2-acc) um+3-acc	2	askee	NP-acc	P
German	19	ASK FOR	bitten	Basic	1-nom V.subj[1] (2-acc) um+3-acc	3	requested thing	um+NP-acc	X
German	19	ASK FOR	bitten	Derived	1-nom erV'.subj[1] 3-acc (von+2-dat)	1	asker	NP-nom V.subj	
German	19	ASK FOR	bitten	Derived	1-nom erV'.subj[1] 3-acc (von+2-dat)	2	askee	von+NP-dat	
German	19	ASK FOR	bitten	Derived	1-nom erV'.subj[1] 3-acc (von+2-dat)	3	requested thing	NP-acc	
German	19	ASK FOR	bitten	Derived	2-nom passV'.subj[2] (von+1-dat) um+3-acc	1	asker	von+NP-dat	
German	19	ASK FOR	bitten	Derived	2-nom passV'.subj[2] (von+1-dat) um+3-acc	2	askee	NP-nom V.subj	
German	19	ASK FOR	bitten	Derived	2-nom passV'.subj[2] (von+1-dat) um+3-acc	3	requested thing	um+NP-acc	
German	20	SHOUT AT	anschreien	Basic	1-nom V.subj[1] 2-acc	1	shouter	NP-nom V.subj	A
German	20	SHOUT AT	anschreien	Basic	1-nom V.subj[1] 2-acc	2	shoutee	NP-acc	P
German	20	SHOUT AT	anschreien	Derived	2-nom passV'.subj[2] (von+1-dat)	1	shouter	von+NP-dat	
German	20	SHOUT AT	anschreien	Derived	2-nom passV'.subj[2] (von+1-dat)	2	shoutee	NP-nom V.subj	
German	21	TELL	erzählen	Basic	1-nom V.subj[1] 2-acc	1	teller	NP-nom V.subj	A
