Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Adjunct addition	Allative alternation	Assume.position alternation	Autobenefactive	Causative	Dative addition	Dative alternation	Deagentive alternation	Locative alternation	Middle	Middle object addition	Middle object-downgrading alternation	Object omission	Placement alternation	Pseudo-passive	Reciprocal (copular version)	Reflexive/reciprocal
Nen	37	SEND	trärs	25, 26, 215	1-erg 2-abs und[2].V.act[1]	No data	No data	No data	No data	No data	Regularly	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	Regularly
Nen	37	SEND	wäbäres	27, 221	1-erg 2-abs und[2].V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	38	CARRY	renzas	17, 18, 20, 21, 39, 40, 142	1-erg 2-abs 3-dat und[2].V.act[1]	No data	Regularly	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	38	CARRY	wazrs (2)	11	1-erg 2-abs und[2].V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	38	CARRY	menzas	19	1-erg 2-abs 3-dat und[2].V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	39	THROW	wwis	14, 15, 16	1-erg 2-abs (LOC3) und[2].V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	40	TIE	wmbaes	8, 9, 220	1-erg 2-abs und[2].V.act[1]	Regularly	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	40	TIE	sns	111, 112	1-erg 2-abs und[2].V.act[1]	No data	No data	No data	No data	No data	No data	No data	Regularly	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	41	PUT	kms	166, 167, 168	1-erg 2-abs und[2].V.act[1]	No data	No data	Regularly	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	Regularly	No data	No data	No data
Nen	42	POUR	wazrs (1)	10, 11, 12, 13	1-erg 2-abs (3-abl) und[2].V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	Regularly	No data	No data	No data	No data	No data	No data	No data
Nen	43	COVER	wapars	1, 3	1-erg 2-abs (3-abl) und[2].V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	Regularly
Nen	43	COVER	awapars	3	1-abs V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	44	FILL	waps	2, 4, 5, 6, 7	1-erg 2-abs (3-abl) und[2].V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	Regularly	No data	No data	No data	No data	No data	No data	No data
Nen	45	LOAD	wewes	184, 185	1-erg 2-obl und[2].V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	45	LOAD	wawags	186, 187, 188	1-erg 2-abs 3-dat und[2].V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	Regularly	No data	No data	No data	No data	Regularly
Nen	45	LOAD	wapls	189, 190, 205	1-erg 2-abs 3-loc und[2].V.act[1]	No data	No data	No data	No data	Regularly	No data	No data	No data	Regularly	No data	No data	No data	No data	No data	No data	No data	No data
Nen	46	BLINK	no direct counterpart		N/A	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	47	COUGH	momae ke otärs	119	1-abs V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	48	CLIMB	armbs	120, 121	1-abs 2-com V.act[1]	No data	No data	No data	No data	Regularly	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	49	RUN	alnzs	125	1-abs V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	50	SIT	weret	123, 128	1-abs und[1].V	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	50	SIT	√mzngr	171, 172, 173	1-abs und[1].V	No data	No data	Regularly	No data	Regularly	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	51	SIT DOWN	amzs	122, 124	1-abs (2-loc) V.act[1]	No data	No data	No data	No data	Regularly	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	52	JUMP	ätäns	126	1-abs V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	52	JUMP	ábrms	127	1-abs V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	53	SING	angan räms	129, 130	1-erg V.act[1]	No data	No data	No data	No data	No data	Regularly	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	54	GO	yls	155	1-abs und[1].V	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	55	LEAVE	ors	157, 158, 214	1-erg 2-abs V.act[1]	No data	No data	No data	No data	No data	No data	Regularly	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	55	LEAVE	branḡs	159, 160	1-erg 2-abs und[2].V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	Regularly
Nen	56	LIVE	weret	123, 128	1-abs und[1].V	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	57	LAUGH	urs	156	1-abs V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	58	SCREAM	awambs	197	1-abs V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	59	FEEL PAIN	tkretewäm räms	154	1-abs und[1].V	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	60	FEEL COLD	kérbéräm räms	153	1-abs und[1].V	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	61	DIE	kr √m	134	1-abs und[1].V	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	62	PLAY	izers	164	1-abs V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	63	BE SAD	weiweiyäm räms	140	1-abs und[1].V	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	64	BE HUNGRY	gersäm räms	138	1-abs und[1].V	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	65	ROLL																				
Nen	66	SINK	olets	200, 201	1-abs V.act[1]	No data	No data	No data	No data	Regularly	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	67	BURN	äkrärs	143	1-abs V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	67	BURN	uzers	144, 145	1-abs V.act[1]	No data	No data	No data	No data	Regularly	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	68	BE DRY	ombtes √m	207	1-abs und[1].V	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	69	RAIN	nu apams	136	V	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	70	BE A HUNTER																				
Nen	71	GRIND	éss	194	1-erg 2-abs und[2].V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	72	WIPE	läns	50, 51	1-erg 2-abs 3-loc und[2].V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	73	DIG	tars	151	1-erg 2-abs und[2].V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	74	PUSH	wédéḡés	165	1-erg 2-abs und[2].V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	75	BRING	renzas	17, 18, 20, 21, 39, 40, 142	1-erg 2-abs 3-dat und[2].V.act[1]	No data	Regularly	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	76	STEAL	wr	42, 43	1-erg 2-abs und[2].V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	76	STEAL	wérnis	42, 43, 44, 45, 46, 203	1-erg 2-abs und[2].V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	Regularly
Nen	77	TEACH	awapaps	176, 177, 178	1-erg 2-obl und[2].V.act[1]	No data	No data	No data	Regularly	No data	No data	Regularly	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	78	HEAR	weres	41, 181, 182, 183	1-erg 2-abs und[2].V.act[1]	No data	No data	No data	Regularly	No data	No data	No data	Regularly	No data	No data	No data	Regularly	No data	No data	No data	No data	No data
Nen	79	COOK	zeyas	146, 148	1-erg 2-abs und[2].V.act[1]	No data	No data	No data	Regularly	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	79	COOK	dus	147	1-erg 2-abs und[2].V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
Nen	80	BOIL	rngs	141	1-abs V.act[1]	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data
