Language_name	Meaning_number	Meaning_label	Verb_form	Example_numbers	Coding_frame_schema	Anti-Causative Alternation	Causative	Comitative Alternation	Incorporation	Reflexive/Reciprocal Alternation	Resultative
Ket	1	EAT	a⁰ (S-O-a-pl )	1, 2, 88	1 2 subj[1].obj[2].V	Never	Never	Never	Regularly	Never	Never
Ket	2	HUG	hataŋ⁷-k⁵-bed⁰ (S-hataŋ-O-k-bed-pl)	62, 86	1 2 subj[1].obj[2].V	Never	Never	Never	Never	Regularly	Regularly
Ket	3	LOOK AT	ŋ⁵-qo⁰ (S-S-ŋ-qo-pl )	47	1 2-poss+tān subj[1].V	Never	Never	Never	Never	Never	Never
Ket	4	SEE	t⁵-oŋ⁰ (S-O-t-oŋ-pl)	45	1 2 subj[1].obj[2].V	Never	Never	Never	Never	Regularly	Never
Ket	5	SMELL	it⁷-it⁰ (S-it-it-pl)	63	1 2-abl subj[1].V	Never	Never	Never	Never	Never	Never
Ket	6	FEAR	t⁵-ok⁰ (S-S-t-ok-pl )	49	1 2-abl subj[1].V	Never	Never	Never	Never	Never	Never
Ket	6	FEAR	qoranej (7)-bed (0) (S-qoranej-bed-pl)	95	1 2-abl subj[1].V	Never	Regularly	Never	Never	Never	Never
Ket	7	FRIGHTEN	qoraŋ⁷-q⁵-t~a⁰ (S-qodaŋ-q-O-t-pl )	48	1 2 subj[1].obj[2].V	Regularly	Never	Never	Never	Regularly	Regularly
Ket	8	LIKE	aqt⁷-qan⁰ (SANIM.SG-aqta-qan)	50	1 2-dat subj[1].V	Never	Never	Never	Never	Never	Never
Ket	9	KNOW	(qoŋ) it⁷-am⁰	44	1 2 subj[1].V	Never	Never	Never	Never	Never	Never
Ket	10	THINK	aniŋ⁷-bed⁰ (S-an-bed-pl)	46	1 2-adess subj[1].V	Never	Never	Never	Never	Never	Never
Ket	11	SEARCH FOR	saŋ⁷-bed⁰ (S-saŋ-bed-pl)	51	1 2-adess subj[1].V	Never	Never	Never	Never	Never	Never
